sensitivity,model_id,benchmark_id,always_refine_protocol,decision_protocol,initial_determinate,initial_pass_rate,resolved_decisions_in_sensitivity,excluded_adjudicated,excluded_normalized,unresolved_or_missing_decisions,correct_preserve,correct_decision_denominator,correct_preserve_rate,incorrect_refine,incorrect_decision_denominator,incorrect_refine_rate,prevented_regression,safe_preservation,missed_repair,unsuccessful_refinement_skipped,net_token_saving_total,net_token_saving_mean,lhs_protocol,rhs_protocol,total_tasks,paired_complete,excluded,excluded_reasons,paired_difference,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p,lhs_pass_rate,rhs_pass_rate
all_resolved,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,dcr,1136,0.4735915492957746,1136,0,0,0,533,538,0.9907063197026023,40,598,0.06688963210702341,107,425,26,531,1818989,1601.2227112676057,cr,dcr,1136,1134,2,"{""indeterminate_functional_outcome"":2}",0.07142857142857142,0.05202821869488536,0.09082892416225749,107,26,1001,7.240570875462988e-13,0.4021164021164021,0.47354497354497355
all_resolved,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,dcpr,1136,0.4735915492957746,1136,0,0,0,533,538,0.9907063197026023,40,598,0.06688963210702341,137,396,27,528,3127855,2753.393485915493,cpr,dcpr,1136,1133,3,"{""indeterminate_functional_outcome"":3}",0.0970873786407767,0.07590467784642542,0.11827007943512798,137,27,969,6.387461796653981e-19,0.3795233892321271,0.4766107678729038
all_resolved,devstral-small-2-24b-instruct,humaneval_plus,r,dr,161,0.8571428571428571,163,0,0,0,131,138,0.9492753623188406,6,23,0.2608695652173913,0,131,3,14,28480,174.72392638036808,r,dr,163,161,2,"{""indeterminate_functional_outcome"":2}",-0.018633540372670808,-0.043478260869565216,0.0,0,3,158,0.25,0.8757763975155279,0.8571428571428571
all_resolved,devstral-small-2-24b-instruct,humaneval_plus,cr,dcr,161,0.8571428571428571,163,0,0,0,131,138,0.9492753623188406,6,23,0.2608695652173913,9,122,5,12,162436,996.5398773006135,cr,dcr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.024844720496894408,-0.018633540372670808,0.06832298136645963,9,5,147,0.4239501953125,0.84472049689441,0.8695652173913043
all_resolved,devstral-small-2-24b-instruct,humaneval_plus,cpr,dcpr,161,0.8571428571428571,163,0,0,0,131,138,0.9492753623188406,6,23,0.2608695652173913,10,121,5,12,289990,1779.079754601227,cpr,dcpr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.031055900621118012,-0.018633540372670808,0.08074534161490683,10,5,146,0.3017578125,0.8322981366459627,0.8633540372670807
all_resolved,devstral-small-2-24b-instruct,mbpp_plus,r,dr,375,0.704,376,0,0,2,262,264,0.9924242424242424,19,111,0.17117117117117117,0,262,1,91,40919,108.82712765957447,r,dr,376,375,1,"{""indeterminate_functional_outcome"":1}",-0.0026666666666666666,-0.008,0.0,0,1,374,1.0,0.7066666666666667,0.704
all_resolved,devstral-small-2-24b-instruct,mbpp_plus,cr,dcr,375,0.704,376,0,0,2,262,264,0.9924242424242424,19,111,0.17117117117117117,13,249,8,84,267062,710.2712765957447,cr,dcr,376,374,2,"{""indeterminate_functional_outcome"":2}",0.013368983957219251,-0.0106951871657754,0.0374331550802139,13,8,353,0.38331031799316406,0.7005347593582888,0.713903743315508
all_resolved,devstral-small-2-24b-instruct,mbpp_plus,cpr,dcpr,375,0.704,376,0,0,2,262,264,0.9924242424242424,19,111,0.17117117117117117,20,242,7,85,483230,1285.186170212766,cpr,dcpr,376,374,2,"{""indeterminate_functional_outcome"":2}",0.034759358288770054,0.008021390374331552,0.06149732620320856,20,7,347,0.0191572904586792,0.6764705882352942,0.7112299465240641
all_resolved,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,dr,1136,0.5008802816901409,1136,0,0,0,513,569,0.9015817223198594,113,567,0.19929453262786595,2,511,7,447,265620,233.82042253521126,r,dr,1136,1136,0,{},-0.0044014084507042256,-0.009683098591549295,0.0008802816901408451,2,7,1127,0.1796875,0.5052816901408451,0.5008802816901409
all_resolved,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,dcr,1136,0.5008802816901409,1136,0,0,0,513,569,0.9015817223198594,113,567,0.19929453262786595,9,504,6,448,1148239,1010.7737676056338,cr,dcr,1136,1136,0,{},0.002640845070422535,-0.0035211267605633804,0.009683098591549295,9,6,1121,0.60723876953125,0.49295774647887325,0.49559859154929575
all_resolved,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,dcpr,1136,0.5008802816901409,1136,0,0,0,513,569,0.9015817223198594,113,567,0.19929453262786595,11,502,8,446,1821451,1603.3899647887324,cpr,dcpr,1136,1136,0,{},0.002640845070422535,-0.0044014084507042256,0.01056338028169014,11,8,1117,0.6476058959960938,0.4903169014084507,0.49295774647887325
all_resolved,gemma-4-31b-it-qat-w4a16,humaneval_plus,r,dr,161,0.968944099378882,163,0,0,0,145,156,0.9294871794871795,1,5,0.2,1,144,0,4,36426,223.4723926380368,r,dr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.006211180124223602,0.0,0.018633540372670808,1,0,160,1.0,0.9627329192546584,0.968944099378882
all_resolved,gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,dcr,161,0.968944099378882,163,0,0,0,145,156,0.9294871794871795,1,5,0.2,3,142,0,4,141538,868.3312883435583,cr,dcr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.018633540372670808,0.0,0.043478260869565216,3,0,158,0.25,0.937888198757764,0.9565217391304348
all_resolved,gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,dcpr,161,0.968944099378882,163,0,0,0,145,156,0.9294871794871795,1,5,0.2,3,142,0,4,220832,1354.79754601227,cpr,dcpr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.018633540372670808,0.0,0.043478260869565216,3,0,158,0.25,0.937888198757764,0.9565217391304348
all_resolved,gemma-4-31b-it-qat-w4a16,mbpp_plus,r,dr,375,0.808,376,0,0,2,294,303,0.9702970297029703,16,72,0.2222222222222222,0,294,0,56,64691,172.0505319148936,r,dr,376,375,1,"{""indeterminate_functional_outcome"":1}",0.0,0.0,0.0,0,0,375,,0.8186666666666667,0.8186666666666667
all_resolved,gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,dcr,375,0.808,376,0,0,2,294,303,0.9702970297029703,16,72,0.2222222222222222,4,289,3,53,244911,651.3590425531914,cr,dcr,376,376,0,{},0.005319148936170213,-0.010638297872340425,0.02127659574468085,5,3,368,0.7265625,0.8111702127659575,0.8164893617021277
all_resolved,gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,dcpr,375,0.808,376,0,0,2,294,303,0.9702970297029703,16,72,0.2222222222222222,5,288,3,53,378845,1007.5664893617021,cpr,dcpr,376,375,1,"{""indeterminate_functional_outcome"":1}",0.008,-0.008,0.024,6,3,366,0.5078125,0.8106666666666666,0.8186666666666667
all_resolved,qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,dr,1136,0.49119718309859156,1136,0,0,0,542,558,0.9713261648745519,55,578,0.09515570934256055,2,540,2,521,236378,208.07922535211267,r,dr,1136,1136,0,{},0.0,-0.0035211267605633804,0.0035211267605633804,2,2,1132,1.0,0.4920774647887324,0.4920774647887324
all_resolved,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,dcr,1136,0.49119718309859156,1136,0,0,0,542,558,0.9713261648745519,55,578,0.09515570934256055,15,527,6,517,987616,869.3802816901408,cr,dcr,1136,1136,0,{},0.007922535211267605,0.0,0.01584507042253521,15,6,1115,0.0783538818359375,0.4867957746478873,0.49471830985915494
all_resolved,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,dcpr,1136,0.49119718309859156,1136,0,0,0,542,558,0.9713261648745519,55,578,0.09515570934256055,13,529,4,518,1610417,1417.6205985915492,cpr,dcpr,1136,1135,1,"{""indeterminate_functional_outcome"":1}",0.007929515418502203,0.000881057268722467,0.014977973568281937,13,4,1118,0.049041748046875,0.48722466960352423,0.4951541850220264
all_resolved,qwen2.5-coder-14b-instruct,humaneval_plus,r,dr,161,0.8819875776397516,163,0,0,0,139,142,0.9788732394366197,6,19,0.3157894736842105,1,138,0,13,30753,188.66871165644173,r,dr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.006211180124223602,0.0,0.018633540372670808,1,0,160,1.0,0.8819875776397516,0.8881987577639752
all_resolved,qwen2.5-coder-14b-instruct,humaneval_plus,cr,dcr,161,0.8819875776397516,163,0,0,0,139,142,0.9788732394366197,6,19,0.3157894736842105,5,134,0,13,124098,761.3374233128834,cr,dcr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.031055900621118012,0.006211180124223602,0.062111801242236024,5,0,156,0.0625,0.8633540372670807,0.8944099378881988
all_resolved,qwen2.5-coder-14b-instruct,humaneval_plus,cpr,dcpr,161,0.8819875776397516,163,0,0,0,139,142,0.9788732394366197,6,19,0.3157894736842105,4,135,0,13,202092,1239.8282208588957,cpr,dcpr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.024844720496894408,0.006211180124223602,0.049689440993788817,4,0,157,0.125,0.8757763975155279,0.9006211180124224
all_resolved,qwen2.5-coder-14b-instruct,mbpp_plus,r,dr,377,0.7612732095490716,378,0,0,0,283,287,0.9860627177700348,17,90,0.18888888888888888,0,283,0,73,52050,137.6984126984127,r,dr,378,377,1,"{""indeterminate_functional_outcome"":1}",0.0,0.0,0.0,0,0,377,,0.7692307692307693,0.7692307692307693
all_resolved,qwen2.5-coder-14b-instruct,mbpp_plus,cr,dcr,377,0.7612732095490716,378,0,0,0,283,287,0.9860627177700348,17,90,0.18888888888888888,6,277,0,73,232011,613.7857142857143,cr,dcr,378,377,1,"{""indeterminate_functional_outcome"":1}",0.015915119363395226,0.005305039787798408,0.029177718832891247,6,0,371,0.03125,0.7692307692307693,0.7851458885941645
all_resolved,qwen2.5-coder-14b-instruct,mbpp_plus,cpr,dcpr,377,0.7612732095490716,378,0,0,0,283,287,0.9860627177700348,17,90,0.18888888888888888,6,277,0,73,357169,944.8915343915344,cpr,dcpr,378,377,1,"{""indeterminate_functional_outcome"":1}",0.015915119363395226,0.005305039787798408,0.029177718832891247,6,0,371,0.03125,0.7639257294429708,0.7798408488063661
all_resolved,qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,dr,1136,0.4102112676056338,1136,0,0,0,453,466,0.9721030042918455,52,670,0.07761194029850746,1,452,7,611,213971,188.35475352112675,r,dr,1136,1136,0,{},-0.00528169014084507,-0.01056338028169014,-0.0008802816901408451,1,7,1128,0.0703125,0.4198943661971831,0.414612676056338
all_resolved,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,dcr,1136,0.4102112676056338,1136,0,0,0,453,466,0.9721030042918455,52,670,0.07761194029850746,10,439,14,599,1025520,902.7464788732394,cr,dcr,1136,1136,0,{},0.0,-0.008802816901408451,0.008802816901408451,14,14,1108,1.0,0.4154929577464789,0.4154929577464789
all_resolved,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,dcpr,1136,0.4102112676056338,1136,0,0,0,453,466,0.9721030042918455,52,670,0.07761194029850746,13,440,12,606,1662628,1463.5809859154929,cpr,dcpr,1136,1136,0,{},0.0008802816901408451,-0.007922535211267605,0.009683098591549295,13,12,1111,1.0,0.4137323943661972,0.414612676056338
all_resolved,qwen2.5-coder-7b-instruct,humaneval_plus,r,dr,161,0.8695652173913043,163,0,0,0,138,140,0.9857142857142858,3,21,0.14285714285714285,1,137,0,18,30022,184.1840490797546,r,dr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.006211180124223602,0.0,0.018633540372670808,1,0,160,1.0,0.8695652173913043,0.8757763975155279
all_resolved,qwen2.5-coder-7b-instruct,humaneval_plus,cr,dcr,161,0.8695652173913043,163,0,0,0,138,140,0.9857142857142858,3,21,0.14285714285714285,6,132,1,17,123385,756.963190184049,cr,dcr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.031055900621118012,0.0,0.062111801242236024,6,1,154,0.125,0.8385093167701864,0.8695652173913043
all_resolved,qwen2.5-coder-7b-instruct,humaneval_plus,cpr,dcpr,161,0.8695652173913043,163,0,0,0,138,140,0.9857142857142858,3,21,0.14285714285714285,5,133,0,18,199802,1225.7791411042945,cpr,dcpr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.031055900621118012,0.006211180124223602,0.062111801242236024,5,0,156,0.0625,0.8385093167701864,0.8695652173913043
all_resolved,qwen2.5-coder-7b-instruct,mbpp_plus,r,dr,375,0.7413333333333333,378,0,0,0,271,278,0.9748201438848921,17,97,0.17525773195876287,0,271,0,80,48825,129.16666666666666,r,dr,378,375,3,"{""indeterminate_functional_outcome"":3}",0.0,0.0,0.0,0,0,375,,0.744,0.744
all_resolved,qwen2.5-coder-7b-instruct,mbpp_plus,cr,dcr,375,0.7413333333333333,378,0,0,0,271,278,0.9748201438848921,17,97,0.17525773195876287,3,268,0,79,198192,524.3174603174604,cr,dcr,378,374,4,"{""indeterminate_functional_outcome"":4}",0.008021390374331552,0.0,0.01871657754010695,3,0,371,0.25,0.7406417112299465,0.7486631016042781
all_resolved,qwen2.5-coder-7b-instruct,mbpp_plus,cpr,dcpr,375,0.7413333333333333,378,0,0,0,271,278,0.9748201438848921,17,97,0.17525773195876287,5,266,0,79,314907,833.0873015873016,cpr,dcpr,378,374,4,"{""indeterminate_functional_outcome"":4}",0.013368983957219251,0.00267379679144385,0.026737967914438502,5,0,369,0.0625,0.7352941176470589,0.7486631016042781
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,r,dr,1135,0.4951541850220264,1135,0,0,1,484,562,0.8612099644128114,185,573,0.3228621291448517,0,484,1,387,96519,85.0387665198238,r,dr,1135,1135,0,{},-0.000881057268722467,-0.0026431718061674008,0.0,0,1,1134,1.0,0.4986784140969163,0.4977973568281938
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,dcr,1135,0.4951541850220264,1135,0,0,1,484,562,0.8612099644128114,185,573,0.3228621291448517,132,352,16,372,1937366,1706.930396475771,cr,dcr,1135,1134,1,"{""indeterminate_functional_outcome"":1}",0.10229276895943562,0.08289241622574955,0.12257495590828923,132,16,986,6.952852160091013e-24,0.3783068783068783,0.48059964726631393
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,dcpr,1135,0.4951541850220264,1135,0,0,1,484,562,0.8612099644128114,185,573,0.3228621291448517,163,321,17,371,2961023,2608.830837004405,cpr,dcpr,1135,1134,1,"{""indeterminate_functional_outcome"":1}",0.12874779541446207,0.10670194003527336,0.15079365079365079,163,17,954,4.099277877902082e-31,0.3509700176366843,0.47971781305114636
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,r,dr,159,0.8679245283018868,161,0,0,2,129,138,0.9347826086956522,5,21,0.23809523809523808,0,129,0,16,26992,167.65217391304347,r,dr,161,158,3,"{""indeterminate_functional_outcome"":3}",0.0,0.0,0.0,0,0,158,,0.8734177215189873,0.8734177215189873
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,dcr,159,0.8679245283018868,161,0,0,2,129,138,0.9347826086956522,5,21,0.23809523809523808,9,120,6,10,200511,1245.4099378881988,cr,dcr,161,158,3,"{""indeterminate_functional_outcome"":3}",0.0189873417721519,-0.02531645569620253,0.06962025316455696,9,6,143,0.60723876953125,0.8417721518987342,0.8607594936708861
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,dcpr,159,0.8679245283018868,161,0,0,2,129,138,0.9347826086956522,5,21,0.23809523809523808,14,115,5,11,317461,1971.807453416149,cpr,dcpr,161,158,3,"{""indeterminate_functional_outcome"":3}",0.056962025316455694,0.006329113924050633,0.10759493670886076,14,5,139,0.063568115234375,0.8037974683544303,0.8607594936708861
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,r,dr,377,0.7612732095490716,378,0,0,0,267,287,0.9303135888501742,31,90,0.34444444444444444,0,267,0,59,46013,121.72751322751323,r,dr,378,377,1,"{""indeterminate_functional_outcome"":1}",0.0,0.0,0.0,0,0,377,,0.7612732095490716,0.7612732095490716
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,dcr,377,0.7612732095490716,378,0,0,0,267,287,0.9303135888501742,31,90,0.34444444444444444,40,227,7,51,330518,874.3862433862433,cr,dcr,378,376,2,"{""indeterminate_functional_outcome"":2}",0.08776595744680851,0.05319148936170213,0.12234042553191489,40,7,329,1.0709118214435875e-06,0.6702127659574468,0.7579787234042553
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,dcpr,377,0.7612732095490716,378,0,0,0,267,287,0.9303135888501742,31,90,0.34444444444444444,45,222,8,50,532062,1407.5714285714287,cpr,dcpr,378,376,2,"{""indeterminate_functional_outcome"":2}",0.09840425531914894,0.061170212765957445,0.1356382978723404,45,8,323,2.3683513772354559e-07,0.651595744680851,0.75
exact_only,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,dr,1128,0.38563829787234044,1002,0,133,1,398,398,1.0,0,598,0.0,4,394,2,596,288826,288.249500998004,r,dr,1002,996,6,"{""indeterminate_functional_outcome"":6}",0.002008032128514056,-0.0030120481927710845,0.007028112449799197,4,2,990,0.6875,0.39759036144578314,0.39959839357429716
exact_only,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,dcr,1128,0.38563829787234044,1002,0,133,1,398,398,1.0,0,598,0.0,94,304,29,568,1832287,1828.629740518962,cr,dcr,1002,995,7,"{""indeterminate_functional_outcome"":7}",0.06532663316582915,0.044221105527638194,0.08743718592964825,94,29,872,3.3927095067658777e-09,0.33467336683417087,0.4
exact_only,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,dcpr,1128,0.38563829787234044,1002,0,133,1,398,398,1.0,0,598,0.0,105,293,24,572,3018192,3012.1676646706587,cpr,dcpr,1002,994,8,"{""indeterminate_functional_outcome"":8}",0.08148893360160966,0.060362173038229376,0.10362173038229376,105,24,865,2.804839880883605e-13,0.31891348088531185,0.40040241448692154
exact_only,deepseek-coder-v2-lite-instruct,humaneval_plus,r,dr,162,0.7777777777777778,160,0,3,0,125,125,1.0,0,34,0.0,2,123,1,33,45855,286.59375,r,dr,160,159,1,"{""indeterminate_functional_outcome"":1}",0.006289308176100629,-0.012578616352201259,0.031446540880503145,2,1,156,1.0,0.779874213836478,0.7861635220125787
exact_only,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,dcr,162,0.7777777777777778,160,0,3,0,125,125,1.0,0,34,0.0,17,107,7,26,221206,1382.5375,cr,dcr,160,157,3,"{""indeterminate_functional_outcome"":3}",0.06369426751592357,0.0,0.12101910828025478,17,7,133,0.06391465663909912,0.7261146496815286,0.7898089171974523
exact_only,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,dcpr,162,0.7777777777777778,160,0,3,0,125,125,1.0,0,34,0.0,21,103,7,26,362781,2267.38125,cpr,dcpr,160,157,3,"{""indeterminate_functional_outcome"":3}",0.08917197452229299,0.025477707006369428,0.15286624203821655,21,7,129,0.012540951371192932,0.7006369426751592,0.7898089171974523
exact_only,deepseek-coder-v2-lite-instruct,mbpp_plus,r,dr,374,0.7379679144385026,358,0,20,0,266,266,1.0,0,90,0.0,1,265,2,88,56035,156.5223463687151,r,dr,358,356,2,"{""indeterminate_functional_outcome"":2}",-0.0028089887640449437,-0.011306179775280277,0.0056179775280898875,1,2,353,1.0,0.75,0.7471910112359551
exact_only,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,dcr,374,0.7379679144385026,358,0,20,0,266,266,1.0,0,90,0.0,50,216,10,79,283601,792.18156424581,cr,dcr,358,355,3,"{""indeterminate_functional_outcome"":3}",0.11267605633802817,0.07323943661971831,0.15492957746478872,50,10,295,1.6163814566157175e-07,0.6366197183098592,0.7492957746478873
exact_only,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,dcpr,374,0.7379679144385026,358,0,20,0,266,266,1.0,0,90,0.0,55,211,5,85,473645,1323.0307262569831,cpr,dcpr,358,356,2,"{""indeterminate_functional_outcome"":2}",0.1404494382022472,0.10112359550561797,0.1797752808988764,55,5,296,1.0382663478969434e-11,0.6067415730337079,0.7471910112359551
exact_only,devstral-small-2-24b-instruct,bigcodebench_instruct,r,dr,1136,0.4735915492957746,1136,0,0,0,533,538,0.9907063197026023,40,598,0.06688963210702341,3,530,5,553,270879,238.44982394366198,r,dr,1136,1136,0,{},-0.0017605633802816902,-0.007042253521126761,0.002640845070422535,3,5,1128,0.7265625,0.477112676056338,0.4753521126760563
exact_only,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,dcr,1136,0.4735915492957746,1136,0,0,0,533,538,0.9907063197026023,40,598,0.06688963210702341,107,425,26,531,1818989,1601.2227112676057,cr,dcr,1136,1134,2,"{""indeterminate_functional_outcome"":2}",0.07142857142857142,0.05202821869488536,0.09082892416225749,107,26,1001,7.240570875462988e-13,0.4021164021164021,0.47354497354497355
exact_only,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,dcpr,1136,0.4735915492957746,1136,0,0,0,533,538,0.9907063197026023,40,598,0.06688963210702341,137,396,27,528,3127855,2753.393485915493,cpr,dcpr,1136,1133,3,"{""indeterminate_functional_outcome"":3}",0.0970873786407767,0.07590467784642542,0.11827007943512798,137,27,969,6.387461796653981e-19,0.3795233892321271,0.4766107678729038
exact_only,devstral-small-2-24b-instruct,humaneval_plus,r,dr,161,0.8571428571428571,163,0,0,0,131,138,0.9492753623188406,6,23,0.2608695652173913,0,131,3,14,28480,174.72392638036808,r,dr,163,161,2,"{""indeterminate_functional_outcome"":2}",-0.018633540372670808,-0.043478260869565216,0.0,0,3,158,0.25,0.8757763975155279,0.8571428571428571
exact_only,devstral-small-2-24b-instruct,humaneval_plus,cr,dcr,161,0.8571428571428571,163,0,0,0,131,138,0.9492753623188406,6,23,0.2608695652173913,9,122,5,12,162436,996.5398773006135,cr,dcr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.024844720496894408,-0.018633540372670808,0.06832298136645963,9,5,147,0.4239501953125,0.84472049689441,0.8695652173913043
exact_only,devstral-small-2-24b-instruct,humaneval_plus,cpr,dcpr,161,0.8571428571428571,163,0,0,0,131,138,0.9492753623188406,6,23,0.2608695652173913,10,121,5,12,289990,1779.079754601227,cpr,dcpr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.031055900621118012,-0.012422360248447204,0.08074534161490683,10,5,146,0.3017578125,0.8322981366459627,0.8633540372670807
exact_only,devstral-small-2-24b-instruct,mbpp_plus,r,dr,375,0.704,376,0,0,2,262,264,0.9924242424242424,19,111,0.17117117117117117,0,262,1,91,40919,108.82712765957447,r,dr,376,375,1,"{""indeterminate_functional_outcome"":1}",-0.0026666666666666666,-0.008,0.0,0,1,374,1.0,0.7066666666666667,0.704
exact_only,devstral-small-2-24b-instruct,mbpp_plus,cr,dcr,375,0.704,376,0,0,2,262,264,0.9924242424242424,19,111,0.17117117117117117,13,249,8,84,267062,710.2712765957447,cr,dcr,376,374,2,"{""indeterminate_functional_outcome"":2}",0.013368983957219251,-0.0106951871657754,0.0374331550802139,13,8,353,0.38331031799316406,0.7005347593582888,0.713903743315508
