scope,model_id,benchmark_id,always_protocol,separate_decision_protocol,single_decision_protocol,reported_protocol,common_complete,initially_incorrect,repair,initially_correct,regression,repair_minus_regression
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,dcr,sc_dcr,dcr,377,74,5,303,1,4
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,dcr,sc_dcr,sc_dcr,377,74,4,303,0,4
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,dcpr,sc_dcpr,cpr,377,74,8,303,7,1
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,dcpr,sc_dcpr,dcpr,377,74,5,303,1,4
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,dcpr,sc_dcpr,sc_dcpr,377,74,5,303,1,4
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,dr,sc_dr,r,1136,578,4,558,3,1
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,dr,sc_dr,dr,1136,578,2,558,1,1
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,dr,sc_dr,sc_dr,1136,578,3,558,1,2
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,cr,1136,578,13,558,18,-5
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,dcr,1136,578,7,558,3,4
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,sc_dcr,1136,578,4,558,1,3
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,cpr,1135,577,11,558,16,-5
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,dcpr,1135,577,7,558,3,4
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,sc_dcpr,1135,577,3,558,1,2
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,r,dr,sc_dr,r,161,19,1,142,1,0
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,r,dr,sc_dr,dr,161,19,1,142,0,1
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,r,dr,sc_dr,sc_dr,161,19,2,142,0,2
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cr,dcr,sc_dcr,cr,161,19,2,142,5,-3
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cr,dcr,sc_dcr,dcr,161,19,2,142,0,2
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cr,dcr,sc_dcr,sc_dcr,161,19,2,142,1,1
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,cpr,161,19,3,142,4,-1
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,dcpr,161,19,3,142,0,3
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,sc_dcpr,161,19,2,142,1,1
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,r,dr,sc_dr,r,377,90,3,287,0,3
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,r,dr,sc_dr,dr,377,90,3,287,0,3
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,r,dr,sc_dr,sc_dr,377,90,4,287,0,4
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cr,dcr,sc_dcr,cr,377,90,11,287,8,3
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cr,dcr,sc_dcr,dcr,377,90,11,287,2,9
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cr,dcr,sc_dcr,sc_dcr,377,90,3,287,1,2
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,cpr,377,90,9,287,8,1
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,dcpr,377,90,9,287,2,7
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,sc_dcpr,377,90,5,287,0,5
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,dr,sc_dr,r,1136,670,12,466,1,11
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,dr,sc_dr,dr,1136,670,5,466,0,5
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,dr,sc_dr,sc_dr,1136,670,12,466,4,8
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,cr,1136,670,25,466,19,6
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,dcr,1136,670,11,466,5,6
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,dcr,sc_dcr,sc_dcr,1136,670,11,466,2,9
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,cpr,1136,670,21,466,17,4
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,dcpr,1136,670,9,466,4,5
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,dcpr,sc_dcpr,sc_dcpr,1136,670,16,466,11,5
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,r,dr,sc_dr,r,161,21,1,140,1,0
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,r,dr,sc_dr,dr,161,21,1,140,0,1
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,r,dr,sc_dr,sc_dr,161,21,1,140,0,1
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cr,dcr,sc_dcr,cr,161,21,3,140,8,-5
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cr,dcr,sc_dcr,dcr,161,21,2,140,2,0
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cr,dcr,sc_dcr,sc_dcr,161,21,1,140,1,0
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,cpr,161,21,2,140,7,-5
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,dcpr,161,21,2,140,2,0
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cpr,dcpr,sc_dcpr,sc_dcpr,161,21,2,140,2,0
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,r,dr,sc_dr,r,375,97,1,278,0,1
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,r,dr,sc_dr,dr,375,97,1,278,0,1
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,r,dr,sc_dr,sc_dr,375,97,2,278,1,1
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cr,dcr,sc_dcr,cr,374,96,5,278,6,-1
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cr,dcr,sc_dcr,dcr,374,96,5,278,3,2
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cr,dcr,sc_dcr,sc_dcr,374,96,3,278,1,2
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,cpr,373,95,5,278,8,-3
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,dcpr,373,95,5,278,3,2
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cpr,dcpr,sc_dcpr,sc_dcpr,373,95,4,278,5,-1
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,r,dr,sc_dr,r,1136,574,4,562,0,4
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,r,dr,sc_dr,dr,1136,574,3,562,0,3
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,r,dr,sc_dr,sc_dr,1136,574,3,562,4,-1
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,dcr,sc_dcr,cr,1135,573,26,562,159,-133
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,dcr,sc_dcr,dcr,1135,573,10,562,27,-17
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,dcr,sc_dcr,sc_dcr,1135,573,4,562,4,0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,dcpr,sc_dcpr,cpr,1135,573,32,562,196,-164
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,dcpr,sc_dcpr,dcpr,1135,573,15,562,33,-18
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,dcpr,sc_dcpr,sc_dcpr,1135,573,12,562,24,-12
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,r,dr,sc_dr,r,160,22,0,138,0,0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,r,dr,sc_dr,dr,160,22,0,138,0,0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,r,dr,sc_dr,sc_dr,160,22,0,138,0,0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,dcr,sc_dcr,cr,160,22,7,138,12,-5
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,dcr,sc_dcr,dcr,160,22,1,138,3,-2
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,dcr,sc_dcr,sc_dcr,160,22,0,138,2,-2
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,dcpr,sc_dcpr,cpr,160,22,6,138,17,-11
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,dcpr,sc_dcpr,dcpr,160,22,1,138,3,-2
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,dcpr,sc_dcpr,sc_dcpr,160,22,1,138,2,-1
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,r,dr,sc_dr,r,377,90,0,287,0,0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,r,dr,sc_dr,dr,377,90,0,287,0,0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,r,dr,sc_dr,sc_dr,377,90,1,287,3,-2
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,dcr,sc_dcr,cr,374,87,10,287,45,-35
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,dcr,sc_dcr,dcr,374,87,3,287,5,-2
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,dcr,sc_dcr,sc_dcr,374,87,0,287,9,-9
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,dcpr,sc_dcpr,cpr,375,88,9,287,51,-42
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,dcpr,sc_dcpr,dcpr,375,88,1,287,6,-5
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,dcpr,sc_dcpr,sc_dcpr,375,88,3,287,6,-3
