scope,model_id,benchmark_id,left_protocol,right_protocol,common_complete,initially_incorrect,left_repairs,right_repairs,repair_both,repair_left_only,repair_right_only,repair_jaccard,initially_correct,left_regressions,right_regressions,regression_both,regression_left_only,regression_right_only,regression_jaccard
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,dr,sc_dr,162,36,0,0,0,0,0,,126,0,0,0,0,0,
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,dcr,sc_dcr,162,36,0,1,0,0,1,0.0,126,0,1,0,0,1,0.0
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr,sc_dcpr,162,36,0,0,0,0,0,,126,0,1,0,0,1,0.0
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,sc_cr,373,97,11,5,2,9,3,0.14285714285714285,276,52,6,3,49,3,0.05454545454545454
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,sc_cpr,374,98,5,3,2,3,1,0.3333333333333333,276,57,10,3,54,7,0.046875
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,dr,sc_dr,374,98,0,2,0,0,2,0.0,276,0,4,0,0,4,0.0
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,dcr,sc_dcr,374,98,0,3,0,0,3,0.0,276,0,8,0,0,8,0.0
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,dcpr,sc_dcpr,374,98,0,2,0,0,2,0.0,276,0,9,0,0,9,0.0
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,sc_cr,1134,597,28,13,6,22,7,0.17142857142857143,537,109,7,5,104,2,0.04504504504504504
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,sc_cpr,1133,595,31,12,6,25,6,0.16216216216216217,538,139,9,5,134,4,0.03496503496503497
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,dr,sc_dr,1136,598,3,9,3,0,6,0.3333333333333333,538,1,5,0,1,5,0.0
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,dcr,sc_dcr,1136,598,2,12,1,1,11,0.07692307692307693,538,2,8,1,1,7,0.1111111111111111
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1135,597,4,15,1,3,14,0.05555555555555555,538,2,15,1,1,14,0.0625
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cr,sc_cr,161,23,7,3,1,6,2,0.1111111111111111,138,9,0,0,9,0,0.0
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,cpr,sc_cpr,161,23,7,3,1,6,2,0.1111111111111111,138,11,0,0,11,0,0.0
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,dr,sc_dr,161,23,0,2,0,0,2,0.0,138,0,1,0,0,1,0.0
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,dcr,sc_dcr,161,23,2,3,1,1,2,0.25,138,0,0,0,0,0,
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,dcpr,sc_dcpr,161,23,2,4,1,1,3,0.2,138,1,5,0,1,5,0.0
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cr,sc_cr,376,112,12,3,3,9,0,0.25,264,14,2,2,12,0,0.14285714285714285
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,cpr,sc_cpr,376,112,11,3,3,8,0,0.2727272727272727,264,22,3,3,19,0,0.13636363636363635
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,dr,sc_dr,377,113,0,5,0,0,5,0.0,264,0,3,0,0,3,0.0
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,dcr,sc_dcr,376,112,4,5,1,3,4,0.125,264,1,6,1,0,5,0.16666666666666666
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,dcpr,sc_dcpr,376,112,4,9,2,2,7,0.18181818181818182,264,2,9,2,0,7,0.2222222222222222
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,sc_cr,1136,567,14,11,7,7,4,0.3888888888888889,569,23,10,6,17,4,0.2222222222222222
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,sc_cpr,1136,567,14,11,6,8,5,0.3157894736842105,569,26,8,6,20,2,0.21428571428571427
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dr,sc_dr,1136,567,2,6,2,0,4,0.3333333333333333,569,2,3,2,0,1,0.6666666666666666
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcr,sc_dcr,1136,567,8,7,4,4,3,0.36363636363636365,569,14,6,4,10,2,0.25
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcpr,sc_dcpr,1136,567,6,9,4,2,5,0.36363636363636365,569,15,4,4,11,0,0.26666666666666666
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,sc_cr,161,5,0,0,0,0,0,,156,5,1,0,5,1,0.0
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,sc_cpr,161,5,0,0,0,0,0,,156,5,1,0,5,1,0.0
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,dr,sc_dr,161,5,0,0,0,0,0,,156,0,1,0,0,1,0.0
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,dcr,sc_dcr,161,5,0,0,0,0,0,,156,2,1,0,2,1,0.0
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,dcpr,sc_dcpr,161,5,0,0,0,0,0,,156,2,1,0,2,1,0.0
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,sc_cr,377,74,8,5,5,3,0,0.625,303,6,1,0,6,1,0.0
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,sc_cpr,377,74,8,5,5,3,0,0.625,303,7,1,0,7,1,0.0
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,dr,sc_dr,377,74,4,6,4,0,2,0.6666666666666666,303,0,0,0,0,0,
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,dcr,sc_dcr,377,74,5,4,3,2,1,0.5,303,1,0,0,1,0,0.0
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,dcpr,sc_dcpr,377,74,5,5,3,2,2,0.42857142857142855,303,1,1,0,1,1,0.0
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,sc_cr,1136,578,13,7,2,11,5,0.1111111111111111,558,18,4,1,17,3,0.047619047619047616
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,sc_cpr,1135,577,11,7,2,9,5,0.125,558,16,4,1,15,3,0.05263157894736842
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,dr,sc_dr,1136,578,2,3,1,1,2,0.25,558,1,1,1,0,0,1.0
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcr,sc_dcr,1136,578,7,4,2,5,2,0.2222222222222222,558,3,1,1,2,0,0.3333333333333333
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1136,578,7,3,1,6,2,0.1111111111111111,558,3,1,1,2,0,0.3333333333333333
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cr,sc_cr,161,19,2,0,0,2,0,0.0,142,5,1,1,4,0,0.2
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cpr,sc_cpr,161,19,3,2,1,2,1,0.25,142,4,1,1,3,0,0.25
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,dr,sc_dr,161,19,1,2,1,0,1,0.5,142,0,0,0,0,0,
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,dcr,sc_dcr,161,19,2,2,1,1,1,0.3333333333333333,142,0,1,0,0,1,0.0
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,dcpr,sc_dcpr,161,19,3,2,1,2,1,0.25,142,0,1,0,0,1,0.0
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cr,sc_cr,377,90,11,9,4,7,5,0.25,287,8,2,2,6,0,0.25
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cpr,sc_cpr,377,90,9,8,4,5,4,0.3076923076923077,287,8,2,2,6,0,0.25
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,dr,sc_dr,377,90,3,4,2,1,2,0.4,287,0,0,0,0,0,
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,dcr,sc_dcr,377,90,11,3,3,8,0,0.2727272727272727,287,2,1,1,1,0,0.5
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,dcpr,sc_dcpr,377,90,9,5,5,4,0,0.5555555555555556,287,2,0,0,2,0,0.0
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,sc_cr,1136,670,25,14,9,16,5,0.3,466,19,5,0,19,5,0.0
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,sc_cpr,1136,670,21,12,8,13,4,0.32,466,17,1,0,17,1,0.0
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,dr,sc_dr,1136,670,5,12,5,0,7,0.4166666666666667,466,0,4,0,0,4,0.0
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcr,sc_dcr,1136,670,11,11,4,7,7,0.2222222222222222,466,5,2,1,4,1,0.16666666666666666
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1136,670,9,16,5,4,11,0.25,466,4,11,3,1,8,0.25
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cr,sc_cr,161,21,3,1,1,2,0,0.3333333333333333,140,8,2,1,7,1,0.1111111111111111
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cpr,sc_cpr,161,21,2,1,1,1,0,0.5,140,7,2,1,6,1,0.125
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,dr,sc_dr,161,21,1,1,1,0,0,1.0,140,0,0,0,0,0,
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,dcr,sc_dcr,161,21,2,1,1,1,0,0.5,140,2,1,0,2,1,0.0
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,dcpr,sc_dcpr,161,21,2,2,2,0,0,1.0,140,2,2,2,0,0,1.0
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cr,sc_cr,374,96,5,1,1,4,0,0.2,278,6,2,1,5,1,0.14285714285714285
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cpr,sc_cpr,374,96,5,1,1,4,0,0.2,278,8,2,1,7,1,0.1111111111111111
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,dr,sc_dr,375,97,1,2,1,0,1,0.5,278,0,1,0,0,1,0.0
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,dcr,sc_dcr,375,97,5,3,3,2,0,0.6,278,3,1,1,2,0,0.3333333333333333
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,dcpr,sc_dcpr,373,95,5,4,3,2,1,0.5,278,3,5,3,0,2,0.6
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,sc_cr,1135,573,26,3,2,24,1,0.07407407407407407,562,159,1,1,158,0,0.006289308176100629
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,sc_cpr,1135,573,32,7,5,27,2,0.14705882352941177,562,196,6,3,193,3,0.01507537688442211
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dr,sc_dr,1136,574,3,3,2,1,1,0.5,562,0,4,0,0,4,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcr,sc_dcr,1135,573,10,4,2,8,2,0.16666666666666666,562,27,4,1,26,3,0.03333333333333333
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcpr,sc_dcpr,1135,573,15,12,7,8,5,0.35,562,33,24,7,26,17,0.14
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,sc_cr,160,22,7,1,1,6,0,0.14285714285714285,138,12,0,0,12,0,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,sc_cpr,160,22,6,5,3,3,2,0.375,138,17,7,3,14,4,0.14285714285714285
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dr,sc_dr,160,22,0,0,0,0,0,,138,0,0,0,0,0,
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcr,sc_dcr,160,22,1,0,0,1,0,0.0,138,3,2,0,3,2,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcpr,sc_dcpr,160,22,1,1,0,1,1,0.0,138,3,2,0,3,2,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,sc_cr,375,88,10,1,1,9,0,0.1,287,45,4,3,42,1,0.06521739130434782
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,sc_cpr,375,88,9,5,2,7,3,0.16666666666666666,287,51,12,5,46,7,0.08620689655172414
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dr,sc_dr,377,90,0,1,0,0,1,0.0,287,0,3,0,0,3,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcr,sc_dcr,375,88,3,0,0,3,0,0.0,287,5,9,1,4,8,0.07692307692307693
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcpr,sc_dcpr,376,89,1,3,1,0,2,0.3333333333333333,287,6,6,2,4,4,0.2
