scope,model_id,benchmark_id,protocol,repairs,unique_repairs,share_of_union
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_cpr,11,1,0.44
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dr,6,0,0.24
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dcr,7,0,0.28
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dcpr,9,1,0.36
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,r,0,0,
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,0,0,
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,0,0,
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_cr,0,0,
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_cpr,0,0,
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dr,0,0,
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dcr,0,0,
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dcpr,0,0,
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,r,4,0,0.4
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,8,0,0.8
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,8,0,0.8
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_cr,5,0,0.5
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_cpr,5,0,0.5
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dr,6,0,0.6
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dcr,4,0,0.4
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dcpr,5,0,0.5
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,4,0,0.21052631578947367
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,13,3,0.6842105263157895
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,11,1,0.5789473684210527
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_cr,7,0,0.3684210526315789
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_cpr,7,0,0.3684210526315789
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_dr,3,0,0.15789473684210525
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_dcr,4,0,0.21052631578947367
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_dcpr,3,0,0.15789473684210525
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,r,1,0,0.25
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cr,2,0,0.5
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,cpr,3,1,0.75
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,sc_cr,0,0,0.0
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,sc_cpr,2,0,0.5
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,sc_dr,2,0,0.5
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,sc_dcr,2,0,0.5
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,sc_dcpr,2,0,0.5
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,r,3,0,0.17647058823529413
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cr,11,2,0.6470588235294118
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,cpr,9,0,0.5294117647058824
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,sc_cr,9,1,0.5294117647058824
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,sc_cpr,8,0,0.47058823529411764
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,sc_dr,4,1,0.23529411764705882
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,sc_dcr,3,0,0.17647058823529413
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,sc_dcpr,5,0,0.29411764705882354
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,12,0,0.32432432432432434
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,25,3,0.6756756756756757
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,21,3,0.5675675675675675
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_cr,14,2,0.3783783783783784
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_cpr,12,0,0.32432432432432434
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dr,12,0,0.32432432432432434
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dcr,11,1,0.2972972972972973
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dcpr,16,0,0.43243243243243246
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,r,1,0,0.3333333333333333
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cr,3,1,1.0
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,cpr,2,0,0.6666666666666666
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,sc_cr,1,0,0.3333333333333333
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,sc_cpr,1,0,0.3333333333333333
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,sc_dr,1,0,0.3333333333333333
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,sc_dcr,1,0,0.3333333333333333
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,sc_dcpr,2,0,0.6666666666666666
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,r,1,0,0.16666666666666666
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cr,5,0,0.8333333333333334
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,cpr,5,0,0.8333333333333334
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,sc_cr,1,0,0.16666666666666666
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,sc_cpr,1,0,0.16666666666666666
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,sc_dr,2,0,0.3333333333333333
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,sc_dcr,3,0,0.5
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,sc_dcpr,4,1,0.6666666666666666
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,r,4,1,0.08163265306122448
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,26,8,0.5306122448979592
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,32,14,0.6530612244897959
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_cr,3,0,0.061224489795918366
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_cpr,7,1,0.14285714285714285
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_dr,3,0,0.061224489795918366
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_dcr,4,2,0.08163265306122448
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_dcpr,12,4,0.24489795918367346
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,r,0,0,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,7,0,0.7777777777777778
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,6,0,0.6666666666666666
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_cr,1,0,0.1111111111111111
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_cpr,5,1,0.5555555555555556
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_dr,0,0,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_dcr,0,0,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_dcpr,1,1,0.1111111111111111
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,r,0,0,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,10,0,0.7692307692307693
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,9,0,0.6923076923076923
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_cr,1,0,0.07692307692307693
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_cpr,5,1,0.38461538461538464
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_dr,1,0,0.07692307692307693
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_dcr,0,0,0.0
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_dcpr,3,1,0.23076923076923078
