model_id,benchmark_id,lhs_protocol,rhs_protocol,total_tasks,paired_complete,excluded,excluded_reasons,paired_difference,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p,lhs_pass_rate,rhs_pass_rate
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,cr,1136,1136,0,{},-0.01232394366197183,-0.022007042253521125,-0.0035211267605633804,8,22,1106,0.016124801710247993,0.5052816901408451,0.49295774647887325
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,cpr,1136,1136,0,{},-0.002640845070422535,-0.008802816901408451,0.0035211267605633804,5,8,1123,0.5810546875,0.49295774647887325,0.4903169014084507
gemma-4-31b-it-qat-w4a16,humaneval_plus,direct,r,163,161,2,"{""indeterminate_functional_outcome"":2}",-0.006211180124223602,-0.018633540372670808,0.0,0,1,160,1.0,0.968944099378882,0.9627329192546584
gemma-4-31b-it-qat-w4a16,humaneval_plus,r,cr,163,161,2,"{""indeterminate_functional_outcome"":2}",-0.024844720496894408,-0.055900621118012424,0.0,1,5,155,0.21875,0.9627329192546584,0.937888198757764
gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,cpr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.0,-0.024844720496894408,0.024844720496894408,2,2,157,1.0,0.937888198757764,0.937888198757764
gemma-4-31b-it-qat-w4a16,mbpp_plus,direct,r,378,377,1,"{""indeterminate_functional_outcome"":1}",0.010610079575596816,0.002652519893899204,0.021220159151193633,4,0,373,0.125,0.8037135278514589,0.8143236074270557
gemma-4-31b-it-qat-w4a16,mbpp_plus,r,cr,378,377,1,"{""indeterminate_functional_outcome"":1}",-0.005305039787798408,-0.021220159151193633,0.010610079575596816,4,6,367,0.75390625,0.8143236074270557,0.8090185676392573
gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,cpr,378,377,1,"{""indeterminate_functional_outcome"":1}",-0.002652519893899204,-0.007957559681697613,0.0,0,1,376,1.0,0.8090185676392573,0.8063660477453581
qwen2.5-coder-14b-instruct,bigcodebench_instruct,direct,r,1136,1136,0,{},0.0008802816901408451,-0.0035211267605633804,0.00528169014084507,4,3,1129,1.0,0.49119718309859156,0.4920774647887324
qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,cr,1136,1136,0,{},-0.00528169014084507,-0.014964788732394365,0.0035211267605633804,12,18,1106,0.361594608053565,0.4920774647887324,0.4867957746478873
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,cpr,1136,1135,1,"{""indeterminate_functional_outcome"":1}",0.0,-0.0052863436123348016,0.004405286343612335,4,4,1127,1.0,0.48722466960352423,0.48722466960352423
qwen2.5-coder-14b-instruct,humaneval_plus,direct,r,163,161,2,"{""indeterminate_functional_outcome"":2}",0.0,-0.018633540372670808,0.018633540372670808,1,1,159,1.0,0.8819875776397516,0.8819875776397516
qwen2.5-coder-14b-instruct,humaneval_plus,r,cr,163,161,2,"{""indeterminate_functional_outcome"":2}",-0.018633540372670808,-0.04363354037266943,0.006211180124223602,1,4,156,0.375,0.8819875776397516,0.8633540372670807
qwen2.5-coder-14b-instruct,humaneval_plus,cr,cpr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.012422360248447204,0.0,0.031055900621118012,2,0,159,0.5,0.8633540372670807,0.8757763975155279
qwen2.5-coder-14b-instruct,mbpp_plus,direct,r,378,377,1,"{""indeterminate_functional_outcome"":1}",0.007957559681697613,0.0,0.01856763925729443,3,0,374,0.25,0.7612732095490716,0.7692307692307693
qwen2.5-coder-14b-instruct,mbpp_plus,r,cr,378,377,1,"{""indeterminate_functional_outcome"":1}",0.0,-0.023872679045092837,0.023872679045092837,9,9,359,1.0,0.7692307692307693,0.7692307692307693
qwen2.5-coder-14b-instruct,mbpp_plus,cr,cpr,378,377,1,"{""indeterminate_functional_outcome"":1}",-0.005305039787798408,-0.013262599469496022,0.0,0,2,375,0.5,0.7692307692307693,0.7639257294429708
qwen2.5-coder-7b-instruct,bigcodebench_instruct,direct,r,1136,1136,0,{},0.009683098591549295,0.0035211267605633804,0.01584507042253521,12,1,1123,0.00341796875,0.4102112676056338,0.4198943661971831
qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,cr,1136,1136,0,{},-0.0044014084507042256,-0.014964788732394365,0.006161971830985915,15,20,1101,0.49955983320251107,0.4198943661971831,0.4154929577464789
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,cpr,1136,1136,0,{},-0.0017605633802816902,-0.01056338028169014,0.007042253521126761,11,13,1112,0.8388197422027588,0.4154929577464789,0.4137323943661972
qwen2.5-coder-7b-instruct,humaneval_plus,direct,r,163,161,2,"{""indeterminate_functional_outcome"":2}",0.0,-0.018633540372670808,0.018633540372670808,1,1,159,1.0,0.8695652173913043,0.8695652173913043
qwen2.5-coder-7b-instruct,humaneval_plus,r,cr,163,161,2,"{""indeterminate_functional_outcome"":2}",-0.031055900621118012,-0.06832298136645963,0.006211180124223602,2,7,152,0.1796875,0.8695652173913043,0.8385093167701864
qwen2.5-coder-7b-instruct,humaneval_plus,cr,cpr,163,161,2,"{""indeterminate_functional_outcome"":2}",0.0,-0.018633540372670808,0.018633540372670808,1,1,159,1.0,0.8385093167701864,0.8385093167701864
qwen2.5-coder-7b-instruct,mbpp_plus,direct,r,378,375,3,"{""indeterminate_functional_outcome"":3}",0.0026666666666666666,0.0,0.008,1,0,374,1.0,0.7413333333333333,0.744
qwen2.5-coder-7b-instruct,mbpp_plus,r,cr,378,374,4,"{""indeterminate_functional_outcome"":4}",-0.0053475935828877,-0.0213903743315508,0.0106951871657754,4,6,364,0.75390625,0.7459893048128342,0.7406417112299465
qwen2.5-coder-7b-instruct,mbpp_plus,cr,cpr,378,374,4,"{""indeterminate_functional_outcome"":4}",-0.0053475935828877,-0.016042780748663103,0.0053475935828877,1,3,370,0.625,0.7406417112299465,0.7352941176470589
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,direct,r,1136,1136,0,{},0.0035211267605633804,0.0008802816901408451,0.007042253521126761,4,0,1132,0.125,0.49471830985915494,0.4982394366197183
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,r,cr,1136,1135,1,"{""indeterminate_functional_outcome"":1}",-0.12070484581497798,-0.14273127753303966,-0.0986784140969163,24,161,950,4.184848753503772e-26,0.4986784140969163,0.37797356828193834
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,cpr,1136,1135,1,"{""indeterminate_functional_outcome"":1}",-0.027312775330396475,-0.04405286343612335,-0.010572687224669603,33,64,1038,0.002151553087925025,0.37797356828193834,0.35066079295154184
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,direct,r,163,160,3,"{""indeterminate_functional_outcome"":3}",0.0,0.0,0.0,0,0,160,,0.8625,0.8625
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,r,cr,163,160,3,"{""indeterminate_functional_outcome"":3}",-0.03125,-0.0875,0.025,7,12,141,0.359283447265625,0.8625,0.83125
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,cpr,163,161,2,"{""indeterminate_functional_outcome"":2}",-0.037267080745341616,-0.08074534161490683,0.0,2,8,151,0.109375,0.8260869565217391,0.7888198757763976
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,direct,r,378,377,1,"{""indeterminate_functional_outcome"":1}",0.0,0.0,0.0,0,0,377,,0.7612732095490716,0.7612732095490716
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,r,cr,378,375,3,"{""indeterminate_functional_outcome"":3}",-0.09333333333333334,-0.13066666666666665,-0.056,10,45,320,2.0572645155203517e-06,0.7653333333333333,0.672
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,cpr,378,376,2,"{""indeterminate_functional_outcome"":2}",-0.018617021276595744,-0.0398936170212766,0.0,4,11,361,0.11846923828125,0.6702127659574468,0.651595744680851
