model_id,benchmark_id,protocol,paired_complete,excluded,label_enforced_minus_emitted,bootstrap_ci_low,bootstrap_ci_high,improved,worsened,unchanged,mcnemar_exact_two_sided_p
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dcr,375,3,0.0,0.0,0.0,0,0,375,
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dcpr,374,4,0.0,0.0,0.0,0,0,374,
qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_dr,1136,0,0.0,0.0,0.0,0,0,1136,
qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_dcr,1136,0,0.0,0.0,0.0,0,0,1136,
qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_dcpr,1136,0,-0.0008802816901408451,-0.002640845070422535,0.0,0,1,1135,1.0
qwen2.5-coder-14b-instruct,humaneval_plus,sc_dr,161,2,0.0,0.0,0.0,0,0,161,
qwen2.5-coder-14b-instruct,humaneval_plus,sc_dcr,161,2,0.0,0.0,0.0,0,0,161,
qwen2.5-coder-14b-instruct,humaneval_plus,sc_dcpr,161,2,0.0,0.0,0.0,0,0,161,
qwen2.5-coder-14b-instruct,mbpp_plus,sc_dr,377,1,0.0,0.0,0.0,0,0,377,
qwen2.5-coder-14b-instruct,mbpp_plus,sc_dcr,377,1,0.0,0.0,0.0,0,0,377,
qwen2.5-coder-14b-instruct,mbpp_plus,sc_dcpr,377,1,0.0,0.0,0.0,0,0,377,
qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dr,1136,0,-0.0008802816901408451,-0.002640845070422535,0.0,0,1,1135,1.0
qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dcr,1136,0,-0.0008802816901408451,-0.002640845070422535,0.0,0,1,1135,1.0
qwen2.5-coder-7b-instruct,bigcodebench_instruct,sc_dcpr,1135,1,-0.000881057268722467,-0.004405286343612335,0.001762114537444934,1,2,1132,1.0
qwen2.5-coder-7b-instruct,humaneval_plus,sc_dr,161,2,0.0,0.0,0.0,0,0,161,
qwen2.5-coder-7b-instruct,humaneval_plus,sc_dcr,160,3,0.0,0.0,0.0,0,0,160,
qwen2.5-coder-7b-instruct,humaneval_plus,sc_dcpr,161,2,0.0,0.0,0.0,0,0,161,
qwen2.5-coder-7b-instruct,mbpp_plus,sc_dr,375,3,0.0,0.0,0.0,0,0,375,
qwen2.5-coder-7b-instruct,mbpp_plus,sc_dcr,374,4,0.0,0.0,0.0,0,0,374,
qwen2.5-coder-7b-instruct,mbpp_plus,sc_dcpr,373,5,0.0,0.0,0.0,0,0,373,
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_dr,1135,1,0.0,0.0,0.0,0,0,1135,
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_dcr,1135,1,0.0,0.0,0.0,0,0,1135,
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_dcpr,1128,8,0.0,0.0,0.0,0,0,1128,
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_dr,158,5,0.0,0.0,0.0,0,0,158,
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_dcr,156,7,0.0,0.0,0.0,0,0,156,
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_dcpr,158,5,0.0,0.0,0.0,0,0,158,
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_dr,375,3,0.0,0.0,0.0,0,0,375,
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_dcr,367,11,0.0,0.0,0.0,0,0,367,
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_dcpr,377,1,0.0,0.0,0.0,0,0,377,
