model_id,benchmark_id,protocol,total_rows,exact_label,invalid_label,preserve_changed,preserve_unchanged,refine_changed,refine_unchanged,behavior_label_inconsistency,behavior_label_inconsistency_rate
qwen2.5-coder-7b-instruct,humaneval_plus,sc_dcr,163,163,0,1,141,3,17,18,0.11042944785276074
qwen2.5-coder-7b-instruct,humaneval_plus,sc_dcpr,163,163,0,2,146,10,5,7,0.04294478527607362
qwen2.5-coder-7b-instruct,mbpp_plus,sc_dr,378,378,0,0,341,14,23,23,0.06084656084656084
qwen2.5-coder-7b-instruct,mbpp_plus,sc_dcr,378,378,0,0,337,15,25,25,0.06613756613756613
qwen2.5-coder-7b-instruct,mbpp_plus,sc_dcpr,378,378,0,0,340,29,9,9,0.023809523809523808
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_dr,1136,1135,0,5,731,116,283,288,0.2537444933920705
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_dcr,1136,1135,0,3,687,139,306,309,0.27224669603524226
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,sc_dcpr,1136,1135,0,4,720,311,93,97,0.08546255506607929
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_dr,163,161,0,0,138,10,13,13,0.08074534161490683
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_dcr,163,161,0,0,132,5,22,22,0.13664596273291926
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,sc_dcpr,163,161,0,0,137,13,11,11,0.06832298136645963
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_dr,378,378,0,2,311,25,38,40,0.10582010582010581
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_dcr,378,378,0,1,310,22,36,37,0.09788359788359788
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,sc_dcpr,378,378,0,0,317,41,19,19,0.05026455026455026
