model_id,benchmark_id,lhs_protocol,rhs_protocol,common_complete_tasks,additional_correct,additional_tokens,tokens_per_additional_correct,undefined_reason
devstral-small-2-24b-instruct,bigcodebench_instruct,cr,cpr,1132,-27,1365109,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,bigcodebench_instruct,r,dr,1136,-2,-270879,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,bigcodebench_instruct,cr,dcr,1134,81,-1814499,-22401.222222222223,
devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,dcpr,1133,110,-3115140,-28319.454545454544,
devstral-small-2-24b-instruct,bigcodebench_instruct,cr,sc_cr,1134,87,-1594011,-18321.96551724138,
devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,sc_cpr,1133,111,-2947592,-26554.882882882885,
devstral-small-2-24b-instruct,bigcodebench_instruct,dr,sc_dr,1136,2,332719,166359.5,
devstral-small-2-24b-instruct,bigcodebench_instruct,dcr,sc_dcr,1136,4,276135,69033.75,
devstral-small-2-24b-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1135,-2,236123,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,humaneval_plus,direct,r,161,3,105892,35297.333333333336,
devstral-small-2-24b-instruct,humaneval_plus,r,cr,161,-5,157741,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,humaneval_plus,cr,cpr,161,-2,138072,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,humaneval_plus,r,dr,161,-3,-27940,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,humaneval_plus,cr,dcr,161,4,-160630,-40157.5,
devstral-small-2-24b-instruct,humaneval_plus,cpr,dcpr,161,5,-286384,-57276.8,
devstral-small-2-24b-instruct,humaneval_plus,cr,sc_cr,161,5,-157623,-31524.6,
devstral-small-2-24b-instruct,humaneval_plus,cpr,sc_cpr,161,7,-293302,-41900.28571428572,
devstral-small-2-24b-instruct,humaneval_plus,dr,sc_dr,161,1,32321,32321.0,
devstral-small-2-24b-instruct,humaneval_plus,dcr,sc_dcr,161,1,9775,9775.0,
devstral-small-2-24b-instruct,humaneval_plus,dcpr,sc_dcpr,161,-2,4913,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,mbpp_plus,direct,r,375,1,132033,132033.0,
devstral-small-2-24b-instruct,mbpp_plus,r,cr,374,-3,246393,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,mbpp_plus,cr,cpr,375,-9,233494,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,mbpp_plus,r,dr,375,-1,-40789,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,mbpp_plus,cr,dcr,374,5,-266383,-53276.6,
devstral-small-2-24b-instruct,mbpp_plus,cpr,dcpr,374,13,-481728,-37056.0,
devstral-small-2-24b-instruct,mbpp_plus,cr,sc_cr,374,3,-238676,-79558.66666666667,
devstral-small-2-24b-instruct,mbpp_plus,cpr,sc_cpr,374,11,-467813,-42528.454545454544,
devstral-small-2-24b-instruct,mbpp_plus,dr,sc_dr,375,2,61201,30600.5,
devstral-small-2-24b-instruct,mbpp_plus,dcr,sc_dcr,374,-4,45616,,no_positive_increment_in_correct_solutions
devstral-small-2-24b-instruct,mbpp_plus,dcpr,sc_dcpr,374,-2,37036,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,direct,r,1136,5,1201457,240291.4,
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,cr,1136,-14,1104696,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,cpr,1136,-3,867423,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,dr,1136,-5,-265620,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,dcr,1136,3,-1148239,-382746.3333333333,
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,dcpr,1136,3,-1821451,-607150.3333333334,
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,sc_cr,1136,10,-1067029,-106702.9,
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,sc_cpr,1136,15,-1924737,-128315.8,
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dr,sc_dr,1136,3,329152,109717.33333333333,
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcr,sc_dcr,1136,7,127096,18156.571428571428,
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcpr,sc_dcpr,1136,14,-54724,-3908.8571428571427,
gemma-4-31b-it-qat-w4a16,humaneval_plus,direct,r,161,-1,129831,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,humaneval_plus,r,cr,161,-4,123573,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,cpr,161,0,89791,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,humaneval_plus,r,dr,161,1,-35800,-35800.0,
gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,dcr,161,3,-139257,-46419.0,
gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,dcpr,161,3,-217576,-72525.33333333333,
gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,sc_cr,161,4,-120474,-30118.5,
gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,sc_cpr,161,4,-207846,-51961.5,
gemma-4-31b-it-qat-w4a16,humaneval_plus,dr,sc_dr,161,-1,42983,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,humaneval_plus,dcr,sc_dcr,161,1,25814,25814.0,
gemma-4-31b-it-qat-w4a16,humaneval_plus,dcpr,sc_dcpr,161,1,15489,15489.0,
gemma-4-31b-it-qat-w4a16,mbpp_plus,direct,r,375,4,234604,58651.0,
gemma-4-31b-it-qat-w4a16,mbpp_plus,r,cr,375,-2,223260,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,cpr,375,-1,160596,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,mbpp_plus,r,dr,375,0,-65289,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,dcr,376,2,-244911,-122455.5,
gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,dcpr,375,3,-379443,-126481.0,
gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,sc_cr,376,2,-214219,-107109.5,
gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,sc_cpr,375,3,-369250,-123083.33333333333,
gemma-4-31b-it-qat-w4a16,mbpp_plus,dr,sc_dr,375,2,87922,43961.0,
gemma-4-31b-it-qat-w4a16,mbpp_plus,dcr,sc_dcr,376,0,47008,,no_positive_increment_in_correct_solutions
gemma-4-31b-it-qat-w4a16,mbpp_plus,dcpr,sc_dcpr,375,0,28255,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,bigcodebench_instruct,direct,r,1136,1,818687,818687.0,
qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,cr,1136,-6,834710,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,cpr,1135,0,695834,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,dr,1136,0,-236378,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,dcr,1136,9,-987616,-109735.11111111111,
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,dcpr,1135,9,-1609505,-178833.88888888888,
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,sc_cr,1136,8,-811355,-101419.375,
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,sc_cpr,1135,8,-1494645,-186830.625,
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dr,sc_dr,1136,1,290551,290551.0,
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcr,sc_dcr,1136,-1,223579,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1136,-2,160822,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,humaneval_plus,direct,r,161,0,105907,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,humaneval_plus,r,cr,161,-3,103147,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,humaneval_plus,cr,cpr,161,2,86851,43425.5,
qwen2.5-coder-14b-instruct,humaneval_plus,r,dr,161,1,-30282,-30282.0,
qwen2.5-coder-14b-instruct,humaneval_plus,cr,dcr,161,5,-122499,-24499.8,
qwen2.5-coder-14b-instruct,humaneval_plus,cpr,dcpr,161,4,-199489,-49872.25,
qwen2.5-coder-14b-instruct,humaneval_plus,cr,sc_cr,161,2,-99978,-49989.0,
qwen2.5-coder-14b-instruct,humaneval_plus,cpr,sc_cpr,161,2,-184620,-92310.0,
qwen2.5-coder-14b-instruct,humaneval_plus,dr,sc_dr,161,1,37955,37955.0,
qwen2.5-coder-14b-instruct,humaneval_plus,dcr,sc_dcr,161,-1,29348,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,humaneval_plus,dcpr,sc_dcpr,161,-2,21074,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,mbpp_plus,direct,r,377,3,162852,54284.0,
qwen2.5-coder-14b-instruct,mbpp_plus,r,cr,377,0,195624,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,mbpp_plus,cr,cpr,377,-2,139117,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,mbpp_plus,r,dr,377,0,-51917,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,mbpp_plus,cr,dcr,377,6,-231488,-38581.333333333336,
qwen2.5-coder-14b-instruct,mbpp_plus,cpr,dcpr,377,6,-356412,-59402.0,
qwen2.5-coder-14b-instruct,mbpp_plus,cr,sc_cr,377,4,-188325,-47081.25,
qwen2.5-coder-14b-instruct,mbpp_plus,cpr,sc_cpr,377,5,-323330,-64666.0,
qwen2.5-coder-14b-instruct,mbpp_plus,dr,sc_dr,377,1,69799,69799.0,
qwen2.5-coder-14b-instruct,mbpp_plus,dcr,sc_dcr,377,-7,59019,,no_positive_increment_in_correct_solutions
qwen2.5-coder-14b-instruct,mbpp_plus,dcpr,sc_dcpr,377,-2,48433,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,bigcodebench_instruct,direct,r,1136,11,751951,68359.18181818182,
qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,cr,1136,-5,902698,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,cpr,1136,-2,703497,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,dr,1136,-6,-213971,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,dcr,1136,0,-1025520,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,dcpr,1136,1,-1662628,-1662628.0,
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,sc_cr,1136,3,-880653,-293551.0,
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,sc_cpr,1136,7,-1571905,-224557.85714285713,
qwen2.5-coder-7b-instruct,bigcodebench_instruct,dr,sc_dr,1136,3,267270,89090.0,
qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcr,sc_dcr,1136,3,193537,64512.333333333336,
qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcpr,sc_dcpr,1136,0,158331,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,humaneval_plus,direct,r,161,0,94202,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,humaneval_plus,r,cr,161,-5,95085,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,humaneval_plus,cr,cpr,161,0,78319,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,humaneval_plus,r,dr,161,1,-29473,-29473.0,
qwen2.5-coder-7b-instruct,humaneval_plus,cr,dcr,161,5,-120266,-24053.2,
qwen2.5-coder-7b-instruct,humaneval_plus,cpr,dcpr,161,5,-194299,-38859.8,
qwen2.5-coder-7b-instruct,humaneval_plus,cr,sc_cr,161,4,-92209,-23052.25,
qwen2.5-coder-7b-instruct,humaneval_plus,cpr,sc_cpr,161,4,-168800,-42200.0,
qwen2.5-coder-7b-instruct,humaneval_plus,dr,sc_dr,161,0,36819,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,humaneval_plus,dcr,sc_dcr,161,0,35344,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,humaneval_plus,dcpr,sc_dcpr,161,0,33655,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,mbpp_plus,direct,r,375,1,157424,157424.0,
qwen2.5-coder-7b-instruct,mbpp_plus,r,cr,374,-2,169716,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,mbpp_plus,cr,cpr,374,-2,130871,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,mbpp_plus,r,dr,375,0,-48228,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,mbpp_plus,cr,dcr,374,3,-195067,-65022.333333333336,
qwen2.5-coder-7b-instruct,mbpp_plus,cpr,dcpr,374,5,-310009,-62001.8,
qwen2.5-coder-7b-instruct,mbpp_plus,cr,sc_cr,374,0,-162439,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,mbpp_plus,cpr,sc_cpr,374,2,-289241,-144620.5,
qwen2.5-coder-7b-instruct,mbpp_plus,dr,sc_dr,375,0,65896,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,mbpp_plus,dcr,sc_dcr,375,0,48888,,no_positive_increment_in_correct_solutions
qwen2.5-coder-7b-instruct,mbpp_plus,dcpr,sc_dcpr,373,-3,40862,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,direct,r,1135,4,867789,216947.25,
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,r,cr,1134,-137,2367954,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,cpr,1134,-31,1344608,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,r,dr,1135,-1,-96519,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,dcr,1134,116,-1937809,-16705.25,
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,dcpr,1134,146,-2961466,-20284.013698630137,
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,sc_cr,1134,135,-2341824,-17346.844444444443,
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,sc_cpr,1134,165,-3630900,-22005.454545454544,
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dr,sc_dr,1135,-4,151163,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcr,sc_dcr,1134,17,-351774,-20692.58823529412,
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,dcpr,sc_dcpr,1134,6,-613930,-102321.66666666667,
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,direct,r,158,0,105677,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,r,cr,158,-5,201848,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,cpr,159,-6,131719,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,r,dr,158,0,-27134,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,dcr,158,3,-198508,-66169.33333333333,
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,dcpr,158,9,-313368,-34818.666666666664,
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,sc_cr,159,6,-187297,-31216.166666666668,
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,sc_cpr,158,9,-264779,-29419.88888888889,
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dr,sc_dr,158,0,34499,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcr,sc_dcr,158,0,9193,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,dcpr,sc_dcpr,158,1,-3039,-3039.0,
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,direct,r,377,0,187994,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,r,cr,375,-35,339795,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,cpr,376,-7,236232,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,r,dr,377,0,-46490,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,dcr,376,33,-329780,-9993.333333333334,
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,dcpr,376,37,-530676,-14342.594594594595,
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,sc_cr,375,32,-279964,-8748.875,
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,sc_cpr,376,35,-444053,-12687.228571428572,
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dr,sc_dr,377,-2,68237,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcr,sc_dcr,375,-7,23708,,no_positive_increment_in_correct_solutions
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,dcpr,sc_dcpr,377,2,-5079,-2539.5,
