model_id,benchmark_id,stage,call_attempts,tokenized_attempts,input_tokens_total,output_tokens_total,tokens_total,tokens_mean,tokens_median,status_counts
deepseek-coder-v2-lite-instruct,humaneval_plus,single_call_dr,163,163,93898,40124,134022,822.2208588957055,768,"{""completed"":163}"
deepseek-coder-v2-lite-instruct,mbpp_plus,critique_conditioned_revision,378,378,195678,44984,240662,636.6719576719577,595.5,"{""completed"":378}"
deepseek-coder-v2-lite-instruct,mbpp_plus,critique_generation,378,378,92758,72680,165438,437.6666666666667,401.0,"{""completed"":378}"
deepseek-coder-v2-lite-instruct,mbpp_plus,direct_generation,378,378,63366,42245,105611,279.3941798941799,264.5,"{""completed"":378}"
deepseek-coder-v2-lite-instruct,mbpp_plus,direct_revision,378,378,118084,42287,160371,424.26190476190476,392.0,"{""completed"":378}"
deepseek-coder-v2-lite-instruct,mbpp_plus,plan_conditioned_revision,378,378,173507,45485,218992,579.3439153439153,534.5,"{""completed"":378}"
deepseek-coder-v2-lite-instruct,mbpp_plus,refinement_need_decision,378,378,98428,1532,99960,264.44444444444446,250.0,"{""completed"":358,""invalid_response"":20}"
deepseek-coder-v2-lite-instruct,mbpp_plus,revision_planning,378,378,174888,50893,225781,597.3042328042328,563.5,"{""completed"":378}"
deepseek-coder-v2-lite-instruct,mbpp_plus,single_call_cpr,378,378,129424,47857,177281,468.9973544973545,432.0,"{""completed"":369,""extraction_failure"":9}"
deepseek-coder-v2-lite-instruct,mbpp_plus,single_call_cr,378,378,125266,43270,168536,445.8624338624339,415.5,"{""completed"":378}"
deepseek-coder-v2-lite-instruct,mbpp_plus,single_call_dcpr,378,378,143788,50105,193893,512.9444444444445,472.5,"{""completed"":366,""extraction_failure"":12}"
deepseek-coder-v2-lite-instruct,mbpp_plus,single_call_dcr,378,378,140386,49155,189541,501.4312169312169,465.0,"{""completed"":369,""extraction_failure"":9}"
deepseek-coder-v2-lite-instruct,mbpp_plus,single_call_dr,378,378,135094,45875,180969,478.75396825396825,446.0,"{""completed"":377,""extraction_failure"":1}"
devstral-small-2-24b-instruct,bigcodebench_instruct,critique_conditioned_revision,1136,1136,1107625,327174,1434799,1263.0272887323943,1204.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,critique_generation,1136,1136,499645,520442,1020087,897.9639084507043,861.5,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,direct_generation,1136,1136,286711,256102,542813,477.82834507042253,452.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,direct_revision,1136,1136,578029,255194,833223,733.4709507042254,692.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,plan_conditioned_revision,1136,1136,1000656,348289,1348945,1187.4515845070423,1136.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,refinement_need_decision,1136,1136,516685,5590,522275,459.7491197183099,434.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,revision_planning,1136,1136,1044009,413525,1457534,1283.0404929577464,1256.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,single_call_cpr,1136,1136,610973,256263,867236,763.4119718309859,721.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,single_call_cr,1136,1136,600749,256284,857033,754.4304577464789,712.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,single_call_dcpr,1136,1136,654141,281222,935363,823.3829225352113,778.5,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,single_call_dcr,1136,1136,645053,266979,912032,802.8450704225352,758.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,bigcodebench_instruct,single_call_dr,1136,1136,629149,265914,895063,787.9075704225352,745.0,"{""completed"":1136}"
devstral-small-2-24b-instruct,humaneval_plus,critique_conditioned_revision,163,163,122380,34056,156436,959.7300613496933,870,"{""completed"":162,""extraction_failure"":1}"
devstral-small-2-24b-instruct,humaneval_plus,critique_generation,163,163,62054,47773,109827,673.7852760736197,595,"{""completed"":163}"
devstral-small-2-24b-instruct,humaneval_plus,direct_generation,163,163,38741,29507,68248,418.6993865030675,400,"{""completed"":163}"
devstral-small-2-24b-instruct,humaneval_plus,direct_revision,163,163,73301,33955,107256,658.0122699386503,608,"{""completed"":162,""extraction_failure"":1}"
devstral-small-2-24b-instruct,humaneval_plus,plan_conditioned_revision,163,163,113047,31568,144615,887.2085889570552,840,"{""completed"":163}"
devstral-small-2-24b-instruct,humaneval_plus,refinement_need_decision,163,163,64499,789,65288,400.5398773006135,382,"{""completed"":163}"
devstral-small-2-24b-instruct,humaneval_plus,revision_planning,163,163,113252,38441,151693,930.6319018404907,811,"{""completed"":163}"
devstral-small-2-24b-instruct,humaneval_plus,single_call_cpr,163,163,78028,31797,109825,673.7730061349694,639,"{""completed"":163}"
devstral-small-2-24b-instruct,humaneval_plus,single_call_cr,163,163,76561,30853,107414,658.9815950920246,628,"{""completed"":163}"
devstral-small-2-24b-instruct,humaneval_plus,single_call_dcpr,163,163,84222,37528,121750,746.9325153374233,684,"{""completed"":160,""extraction_failure"":3}"
devstral-small-2-24b-instruct,humaneval_plus,single_call_dcr,163,163,82918,31360,114278,701.0920245398773,676,"{""completed"":163}"
devstral-small-2-24b-instruct,humaneval_plus,single_call_dr,163,163,80636,31109,111745,685.5521472392638,660,"{""completed"":163}"
devstral-small-2-24b-instruct,mbpp_plus,critique_conditioned_revision,376,376,188835,32087,220922,587.5585106382979,500.5,"{""completed"":376}"
devstral-small-2-24b-instruct,mbpp_plus,critique_generation,376,376,75117,84754,159871,425.18882978723406,331.5,"{""completed"":376}"
devstral-small-2-24b-instruct,mbpp_plus,direct_generation,378,378,57649,40273,97922,259.0529100529101,219.0,"{""completed"":376,""extraction_failure"":2}"
devstral-small-2-24b-instruct,mbpp_plus,direct_revision,376,376,101061,31328,132389,352.09840425531917,316.0,"{""completed"":376}"
devstral-small-2-24b-instruct,mbpp_plus,plan_conditioned_revision,376,376,178757,34044,212801,565.9601063829788,524.5,"{""completed"":376}"
devstral-small-2-24b-instruct,mbpp_plus,refinement_need_decision,376,376,80757,1838,82595,219.66755319148936,201.0,"{""completed"":376}"
devstral-small-2-24b-instruct,mbpp_plus,revision_planning,376,376,167779,74686,242465,644.8537234042553,522.5,"{""completed"":376}"
devstral-small-2-24b-instruct,mbpp_plus,single_call_cpr,376,376,111965,31733,143698,382.1755319148936,345.0,"{""completed"":376}"
devstral-small-2-24b-instruct,mbpp_plus,single_call_cr,376,376,108581,31565,140146,372.72872340425533,337.0,"{""completed"":376}"
devstral-small-2-24b-instruct,mbpp_plus,single_call_dcpr,376,376,126253,40689,166942,443.99468085106383,397.5,"{""completed"":374,""extraction_failure"":2}"
devstral-small-2-24b-instruct,mbpp_plus,single_call_dcr,376,376,123245,34904,158149,420.6090425531915,384.5,"{""completed"":376}"
devstral-small-2-24b-instruct,mbpp_plus,single_call_dr,376,376,117981,34874,152855,406.52925531914894,370.0,"{""completed"":376}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,critique_conditioned_revision,1136,1136,979371,436041,1415412,1245.9612676056338,1209.5,"{""completed"":1136}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,critique_generation,1136,1136,705253,185488,890741,784.1029929577464,755.0,"{""completed"":1136}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,direct_generation,1136,1136,308200,435675,743875,654.8195422535211,630.0,"{""completed"":1136}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,direct_revision,1136,1136,780229,421228,1201457,1057.6205985915492,1028.0,"{""completed"":1136}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,plan_conditioned_revision,1136,1136,864933,426531,1291464,1136.8521126760563,1089.0,"{""completed"":1136}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,refinement_need_decision,1136,1136,723429,4375,727804,640.6725352112676,616.0,"{""completed"":1136}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,revision_planning,1136,1136,919163,72208,991371,872.6857394366198,819.0,"{""completed"":1136}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,single_call_cpr,1136,1136,813173,435666,1248839,1099.3301056338028,1069.5,"{""completed"":1135,""extraction_failure"":1}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,single_call_cr,1136,1136,800677,438447,1239124,1090.7781690140846,1060.5,"{""completed"":1135,""extraction_failure"":1}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,single_call_dcpr,1136,1136,855205,442196,1297401,1142.0783450704225,1106.5,"{""completed"":1135,""extraction_failure"":1}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,single_call_dcr,1136,1136,844981,440029,1285010,1131.1707746478874,1098.0,"{""completed"":1136}"
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,single_call_dr,1136,1136,829077,435912,1264989,1113.5466549295775,1080.0,"{""completed"":1136}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,critique_conditioned_revision,163,163,113831,41680,155511,954.0552147239264,869,"{""completed"":163}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,critique_generation,163,163,78102,23015,101117,620.3496932515337,532,"{""completed"":163}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,direct_generation,163,163,41806,41838,83644,513.1533742331288,482,"{""completed"":163}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,direct_revision,163,163,88860,42540,131400,806.1349693251534,764,"{""completed"":163}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,plan_conditioned_revision,163,163,94949,41840,136789,839.1963190184049,781,"{""completed"":163}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,refinement_need_decision,163,163,80710,640,81350,499.07975460122697,468,"{""completed"":163}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,revision_planning,163,163,105192,4296,109488,671.7055214723927,568,"{""completed"":163}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,single_call_cpr,163,163,93587,43389,136976,840.3435582822086,797,"{""completed"":163}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,single_call_cr,163,163,91794,42741,134535,825.3680981595093,782,"{""completed"":163}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,single_call_dcpr,163,163,99618,43207,142825,876.2269938650306,817,"{""completed"":162,""extraction_failure"":1}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,single_call_dcr,163,163,98151,43509,141660,869.079754601227,808,"{""completed"":162,""extraction_failure"":1}"
gemma-4-31b-it-qat-w4a16,humaneval_plus,single_call_dr,163,163,95869,42816,138685,850.8282208588957,794,"{""completed"":162,""extraction_failure"":1}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,critique_conditioned_revision,376,376,203990,88141,292131,776.9441489361702,603.5,"{""completed"":374,""extraction_failure"":2}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,critique_generation,376,376,135760,38900,174660,464.52127659574467,349.0,"{""completed"":376}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,direct_generation,378,378,62787,90852,153639,406.45238095238096,338.0,"{""completed"":376,""extraction_failure"":2}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,direct_revision,376,376,160576,75095,235671,626.7845744680851,542.0,"{""completed"":376}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,plan_conditioned_revision,376,376,179182,76588,255770,680.2393617021277,565.5,"{""completed"":375,""extraction_failure"":1}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,refinement_need_decision,376,376,141776,1478,143254,380.99468085106383,324.0,"{""completed"":376}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,revision_planning,376,376,184062,14468,198530,528.0053191489362,380.5,"{""completed"":376}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,single_call_cpr,376,376,171480,82500,253980,675.4787234042553,571.5,"{""completed"":375,""extraction_failure"":1}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,single_call_cr,376,376,167344,85228,252572,671.7340425531914,561.0,"{""completed"":374,""extraction_failure"":2}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,single_call_dcpr,376,376,185392,86687,272079,723.6143617021277,617.0,"{""completed"":374,""extraction_failure"":2}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,single_call_dcr,376,376,182008,86880,268888,715.1276595744681,609.5,"{""completed"":375,""extraction_failure"":1}"
gemma-4-31b-it-qat-w4a16,mbpp_plus,single_call_dr,376,376,176744,85277,262021,696.8643617021277,594.0,"{""completed"":375,""extraction_failure"":1}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,critique_conditioned_revision,1136,1136,745263,245824,991087,872.4357394366198,813.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,critique_generation,1136,1136,507017,155293,662310,583.0193661971831,528.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,direct_generation,1136,1136,307431,240645,548076,482.4612676056338,463.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,direct_revision,1136,1136,579721,238966,818687,720.675176056338,695.5,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,plan_conditioned_revision,1136,1136,669904,248950,918854,808.8503521126761,754.5,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,refinement_need_decision,1136,1136,521785,4473,526258,463.25528169014086,444.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,revision_planning,1136,1136,685055,83358,768413,676.4198943661971,573.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,single_call_cpr,1136,1136,613801,240421,854222,751.955985915493,727.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,single_call_cr,1136,1136,601305,240737,842042,741.2341549295775,717.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,single_call_dcpr,1136,1136,652425,247557,899982,792.237676056338,768.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,single_call_dcr,1136,1136,642201,247159,889360,782.887323943662,758.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,bigcodebench_instruct,single_call_dr,1136,1136,626297,246563,872860,768.362676056338,743.0,"{""completed"":1136}"
qwen2.5-coder-14b-instruct,humaneval_plus,critique_conditioned_revision,163,163,96673,30097,126770,777.7300613496933,742,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,critique_generation,163,163,66422,18347,84769,520.0552147239264,478,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,direct_generation,163,163,41642,30648,72290,443.49693251533745,428,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,direct_revision,163,163,76854,30410,107264,658.0613496932515,638,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,plan_conditioned_revision,163,163,86912,30601,117513,720.9386503067485,682,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,refinement_need_decision,163,163,68541,643,69184,424.44171779141107,409,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,revision_planning,163,163,88034,9078,97112,595.7791411042945,523,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,single_call_cpr,163,163,81744,30958,112702,691.4233128834355,668,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,single_call_cr,163,163,79951,30520,110471,677.7361963190184,657,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,single_call_dcpr,163,163,87286,31701,118987,729.9815950920246,708,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,single_call_dcr,163,163,85819,31649,117468,720.6625766871166,699,"{""completed"":163}"
qwen2.5-coder-14b-instruct,humaneval_plus,single_call_dr,163,163,83537,31494,115031,705.7116564417178,685,"{""completed"":163}"
qwen2.5-coder-14b-instruct,mbpp_plus,critique_conditioned_revision,378,378,171492,43843,215335,569.6693121693122,530.5,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,critique_generation,378,378,95522,48364,143886,380.6507936507937,353.0,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,direct_generation,378,378,65585,43545,109130,288.7037037037037,271.0,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,direct_revision,378,378,119714,43493,163207,431.7645502645503,400.5,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,plan_conditioned_revision,378,378,140278,44654,184932,489.23809523809524,443.5,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,refinement_need_decision,378,378,100436,1491,101927,269.64814814814815,252.0,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,revision_planning,378,378,151458,18296,169754,449.0846560846561,398.0,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,single_call_cpr,378,378,131054,43594,174648,462.031746031746,429.5,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,single_call_cr,378,378,126896,43629,170525,451.12433862433863,419.5,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,single_call_dcpr,378,378,143906,46133,190039,502.74867724867727,471.5,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,single_call_dcr,378,378,140504,45919,186423,493.1825396825397,462.0,"{""completed"":378}"
qwen2.5-coder-14b-instruct,mbpp_plus,single_call_dr,378,378,135212,45924,181136,479.1957671957672,447.5,"{""completed"":378}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,critique_conditioned_revision,1136,1136,762081,213438,975519,858.731514084507,774.5,"{""completed"":1127,""extraction_failure"":9}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,critique_generation,1136,1136,472706,206424,679130,597.8257042253521,518.5,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,direct_generation,1136,1136,307431,206171,513602,452.11443661971833,431.0,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,direct_revision,1136,1136,545410,206541,751951,661.9286971830986,631.5,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,plan_conditioned_revision,1136,1136,656248,216878,873126,768.5968309859155,698.0,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,refinement_need_decision,1136,1136,487474,4479,491953,433.05721830985914,412.0,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,revision_planning,1136,1136,701873,104017,805890,709.4102112676056,567.5,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,single_call_cpr,1136,1136,579490,206751,786241,692.1135563380282,661.0,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,single_call_cr,1136,1136,566994,207002,773996,681.3345070422536,650.0,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,single_call_dcpr,1136,1136,618114,235735,853849,751.6276408450705,720.0,"{""completed"":1135,""extraction_failure"":1}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,single_call_dcr,1136,1136,607890,214776,822666,724.1778169014085,692.5,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,bigcodebench_instruct,single_call_dr,1136,1136,591986,213264,805250,708.8468309859155,678.0,"{""completed"":1136}"
qwen2.5-coder-7b-instruct,humaneval_plus,critique_conditioned_revision,163,163,89674,26105,115779,710.3006134969326,672,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,critique_generation,163,163,60509,17264,77773,477.13496932515335,435,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,direct_generation,163,163,41642,24735,66377,407.22085889570553,389,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,direct_revision,163,163,70941,24956,95897,588.3251533742331,551,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,plan_conditioned_revision,163,163,81211,24945,106156,651.2638036809816,612,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,refinement_need_decision,163,163,62628,647,63275,388.19018404907973,370,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,revision_planning,163,163,81035,9291,90326,554.1472392638037,483,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,single_call_cpr,163,163,75831,24730,100561,616.9386503067485,575,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,single_call_cr,163,163,74038,24773,98811,606.2024539877301,564,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,single_call_dcpr,163,163,81373,27495,108868,667.9018404907976,631,"{""completed"":163}"
qwen2.5-coder-7b-instruct,humaneval_plus,single_call_dcr,163,163,79906,26276,106182,651.4233128834355,617,"{""completed"":162,""extraction_failure"":1}"
qwen2.5-coder-7b-instruct,humaneval_plus,single_call_dr,163,163,77624,25713,103337,633.9693251533743,592,"{""completed"":163}"
qwen2.5-coder-7b-instruct,mbpp_plus,critique_conditioned_revision,378,378,158423,41672,200095,529.3518518518518,495.5,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,critique_generation,378,378,93322,37504,130826,346.1005291005291,318.0,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,direct_generation,378,378,65585,41345,106930,282.8835978835979,266.0,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,direct_revision,378,378,117514,41362,158876,420.30687830687833,394.0,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,plan_conditioned_revision,378,378,136154,41825,177979,470.84391534391534,439.5,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,refinement_need_decision,378,378,98236,1488,99724,263.8201058201058,247.0,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,revision_planning,378,378,138389,16371,154760,409.4179894179894,360.0,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,single_call_cpr,378,378,128854,41488,170342,450.64021164021165,424.0,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,single_call_cr,378,378,124696,41533,166229,439.75925925925924,414.0,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,single_call_dcpr,378,378,141706,47368,189074,500.1957671957672,473.5,"{""completed"":378}"
qwen2.5-coder-7b-instruct,mbpp_plus,single_call_dcr,378,378,138304,44093,182397,482.531746031746,456.0,"{""completed"":377,""extraction_failure"":1}"
qwen2.5-coder-7b-instruct,mbpp_plus,single_call_dr,378,378,133012,43673,176685,467.42063492063494,441.0,"{""completed"":378}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,critique_conditioned_revision,1135,1135,1440141,440049,1880190,1656.555066079295,1431,"{""completed"":1134,""extraction_failure"":1}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,critique_generation,1135,1135,519969,836888,1356857,1195.4687224669603,979,"{""completed"":1135}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,direct_generation,1136,1136,283575,282236,565811,498.07306338028167,467.0,"{""completed"":1135,""extraction_failure"":1}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,direct_revision,1135,1135,592609,275180,867789,764.5718061674008,727,"{""completed"":1135}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,plan_conditioned_revision,1135,1135,991693,462676,1454369,1281.3823788546256,1247,"{""completed"":1135}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,refinement_need_decision,1135,1135,534724,6215,540939,476.59823788546254,451,"{""completed"":1103,""invalid_response"":32}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,revision_planning,1135,1135,1379986,391658,1771644,1560.9198237885462,1340,"{""completed"":1135}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,single_call_cpr,1135,1135,626659,322822,949481,836.5471365638766,808,"{""completed"":1134,""extraction_failure"":1}"
