call_record_id,model_display_name,benchmark_id,upstream_task_id,stage,reported_status,finish_reason,source_registry_path,source_sha256,exported_path
call_096b3607a2cfeefe5f12cdb0,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/169,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_096b3607a2cfeefe5f12cdb0.response,0920bd9242d4e788a9f8e6f03ebdc1f5a2e7b977c29928f2ae236e59856bc189,data/selected_raw_response_evidence/responses/call_096b3607a2cfeefe5f12cdb0.response
call_0a44ad4c5138e91afdec8a8e,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/1035,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_0a44ad4c5138e91afdec8a8e.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_0a44ad4c5138e91afdec8a8e.response
call_0b3393530a515669f9008daf,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/903,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_0b3393530a515669f9008daf.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_0b3393530a515669f9008daf.response
call_0b486a9a7d695bfe7e8cf91f,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/646,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_0b486a9a7d695bfe7e8cf91f.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_0b486a9a7d695bfe7e8cf91f.response
call_0d63b0c04abd88e70d31711e,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/473,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_0d63b0c04abd88e70d31711e.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_0d63b0c04abd88e70d31711e.response
call_0d85c690ce2f608250c9f273,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/449,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_0d85c690ce2f608250c9f273.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_0d85c690ce2f608250c9f273.response
call_0f394035001431af1b6bb0e4,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/784,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_0f394035001431af1b6bb0e4.response,5324a6517bf4a81f07d5d8bbd203e4304ce32fa06ad47ce51e67a48fbc913482,data/selected_raw_response_evidence/responses/call_0f394035001431af1b6bb0e4.response
call_102dc4244aecafb600208d06,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/968,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_102dc4244aecafb600208d06.response,a7874892922094b690b3f8101bf6ca07ba8610f2e7d4eb4ec6c0f5b0b050cb0a,data/selected_raw_response_evidence/responses/call_102dc4244aecafb600208d06.response
call_134831c0873d61fd789a0799,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/227,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_134831c0873d61fd789a0799.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_134831c0873d61fd789a0799.response
call_13ada483942965e8024c4c78,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/884,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_13ada483942965e8024c4c78.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_13ada483942965e8024c4c78.response
call_148af644c5d334f3dfb94f67,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/633,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_148af644c5d334f3dfb94f67.response,b206bac5bb6320bfa9842ea4f7157e0cf7c2c81f7af736e0b8697a81346aafbe,data/selected_raw_response_evidence/responses/call_148af644c5d334f3dfb94f67.response
call_15703a37b8307d4efdeb9ac7,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/573,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_15703a37b8307d4efdeb9ac7.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_15703a37b8307d4efdeb9ac7.response
call_18698e346ea4f0d3b9584960,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/11,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_18698e346ea4f0d3b9584960.response,847b18bc173e1a4c996030120cbb7c00fd9b119a7e63cd5656d442847f9bda6b,data/selected_raw_response_evidence/responses/call_18698e346ea4f0d3b9584960.response
call_1a6b28be97b5cb1116c3721d,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/293,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_1a6b28be97b5cb1116c3721d.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_1a6b28be97b5cb1116c3721d.response
call_1a88eb2f253a0d882d24deda,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/196,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_1a88eb2f253a0d882d24deda.response,54062e57084676451bb3cbaa508a22428adb36febb6fc404d822b4f97b40cac0,data/selected_raw_response_evidence/responses/call_1a88eb2f253a0d882d24deda.response
call_1f73cd8e0349336754f5c16a,DeepSeek-Coder-V2-Lite-Instruct,humaneval_plus,HumanEval/101,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_1f73cd8e0349336754f5c16a.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_1f73cd8e0349336754f5c16a.response
call_1fc110225f5396d02353e8fb,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/128,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_1fc110225f5396d02353e8fb.response,78c3e68cc295da1c0f49213291aa4fc5c67896683841543a19da5eb3033b947b,data/selected_raw_response_evidence/responses/call_1fc110225f5396d02353e8fb.response
call_21f881ea9aecc89c91fac176,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/240,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_21f881ea9aecc89c91fac176.response,d45ac2ba9fddbbbdc2f5e73a62617015f2359de583c18ffbc95f475f7a598eec,data/selected_raw_response_evidence/responses/call_21f881ea9aecc89c91fac176.response
call_22b5def026dfab1dfa535873,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/512,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_22b5def026dfab1dfa535873.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_22b5def026dfab1dfa535873.response
call_24110655a1bc12db1851b0f3,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/427,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_24110655a1bc12db1851b0f3.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_24110655a1bc12db1851b0f3.response
call_25a69137d53f85d47a93792e,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/941,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_25a69137d53f85d47a93792e.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_25a69137d53f85d47a93792e.response
call_25e8a8f87a4b25f672114000,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/388,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_25e8a8f87a4b25f672114000.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_25e8a8f87a4b25f672114000.response
call_2a813709f1c5c5a45cbc1a00,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/51,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_2a813709f1c5c5a45cbc1a00.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_2a813709f1c5c5a45cbc1a00.response
call_2c07f153a0080c5734f39fdc,DeepSeek-Coder-V2-Lite-Instruct,mbpp_plus,Mbpp/64,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_2c07f153a0080c5734f39fdc.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_2c07f153a0080c5734f39fdc.response
call_2c78ee94f91f480f12437f48,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/447,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_2c78ee94f91f480f12437f48.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_2c78ee94f91f480f12437f48.response
call_2e781656e06815929ffd906c,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/125,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_2e781656e06815929ffd906c.response,0d19bdb73b59f4fd1d492ebbcf3541ba427d6acec3aa901d26f1e89176d340a8,data/selected_raw_response_evidence/responses/call_2e781656e06815929ffd906c.response
call_3140f6ef591db1fb47641580,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/425,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_3140f6ef591db1fb47641580.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_3140f6ef591db1fb47641580.response
call_34c7e94784cd37f4be7b3932,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/235,direct_generation,malformed_candidate,length,raw/run_c99d3b1d562acc3e80026e48/call_34c7e94784cd37f4be7b3932.response,9783c82a6b3bc67abac725504d270c187a1e18b6e63bcb481168d3adf4690184,data/selected_raw_response_evidence/responses/call_34c7e94784cd37f4be7b3932.response
call_34dfea16bd22bc58465f09e8,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/685,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_34dfea16bd22bc58465f09e8.response,0dde3b7fb97775f95ec0aa0d98b59a49f27391757732b6fed777c93c7952a8e6,data/selected_raw_response_evidence/responses/call_34dfea16bd22bc58465f09e8.response
call_37285826232c0a59c7010b14,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/1036,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_37285826232c0a59c7010b14.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_37285826232c0a59c7010b14.response
call_37d5ac64516cbd6232ae3732,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/237,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_37d5ac64516cbd6232ae3732.response,4c877e33b88a755f998bbf9f1a5a21b656ac91412fc91029fc06a3eb0704e06f,data/selected_raw_response_evidence/responses/call_37d5ac64516cbd6232ae3732.response
call_3851d424f6083a32af82beaf,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/306,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_3851d424f6083a32af82beaf.response,dc5032926c3b45808f73943dd57620b55a75278903e4c99501ed0ae798c60d97,data/selected_raw_response_evidence/responses/call_3851d424f6083a32af82beaf.response
call_3852e4b854018aad32c1ec9b,DeepSeek-Coder-V2-Lite-Instruct,mbpp_plus,Mbpp/786,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_3852e4b854018aad32c1ec9b.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_3852e4b854018aad32c1ec9b.response
call_38c27e09bff1768e0cbcd381,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/468,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_38c27e09bff1768e0cbcd381.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_38c27e09bff1768e0cbcd381.response
call_3a138cfeb9cef374faea5f95,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/88,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_3a138cfeb9cef374faea5f95.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_3a138cfeb9cef374faea5f95.response
call_3a70937f9bc5bada6c2a28c9,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/903,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_3a70937f9bc5bada6c2a28c9.response,8ec32dd156e867939390d6b158e2d78009b2735324fdc1638b7ea952e6ffc5fb,data/selected_raw_response_evidence/responses/call_3a70937f9bc5bada6c2a28c9.response
call_3ccc27d27087bda48bc32b15,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/588,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_3ccc27d27087bda48bc32b15.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_3ccc27d27087bda48bc32b15.response
call_4162f1bfa5482e13a6a89cd4,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/151,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_4162f1bfa5482e13a6a89cd4.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_4162f1bfa5482e13a6a89cd4.response
call_4184dc6cc655786a3b93f063,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/432,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_4184dc6cc655786a3b93f063.response,3aa58cf6f5e5c95b8373805ee2193ce13f2a8128a985fdd300d2e926d99a16bc,data/selected_raw_response_evidence/responses/call_4184dc6cc655786a3b93f063.response
call_41c7d49ea82a2f47fe80cf29,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/660,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_41c7d49ea82a2f47fe80cf29.response,494a45ca9adf7af5ae4a7966bc11abd007ad7ac391dee4452abe68ce83083b73,data/selected_raw_response_evidence/responses/call_41c7d49ea82a2f47fe80cf29.response
call_438501ed2a94385af215d812,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/1013,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_438501ed2a94385af215d812.response,572641c7aecdc188554f3859546d5899f6b169220c72cab4faf951ffabf946b9,data/selected_raw_response_evidence/responses/call_438501ed2a94385af215d812.response
call_43bffe16ebaa6fa62297a06a,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/294,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_43bffe16ebaa6fa62297a06a.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_43bffe16ebaa6fa62297a06a.response
call_450e8cdc845c82afb70ef029,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/222,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_450e8cdc845c82afb70ef029.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_450e8cdc845c82afb70ef029.response
call_4620574dbe629d0ccf7e5d25,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/750,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_4620574dbe629d0ccf7e5d25.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_4620574dbe629d0ccf7e5d25.response
call_465ada6541f14c1bb6648bd1,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/344,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_465ada6541f14c1bb6648bd1.response,022ce2842171bf74af1e0d0c933ebdc4d7bf79e71abf62baaea0856758e09e12,data/selected_raw_response_evidence/responses/call_465ada6541f14c1bb6648bd1.response
call_4a207543b60a39d6dbfe319f,DeepSeek-Coder-V2-Lite-Instruct,mbpp_plus,Mbpp/138,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_4a207543b60a39d6dbfe319f.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_4a207543b60a39d6dbfe319f.response
call_4caa1da90d228200a22872f9,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/920,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_4caa1da90d228200a22872f9.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_4caa1da90d228200a22872f9.response
call_4cf68715ac360774a777b1cc,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/291,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_4cf68715ac360774a777b1cc.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_4cf68715ac360774a777b1cc.response
call_4d234293e84b167c8d17c48f,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/460,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_4d234293e84b167c8d17c48f.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_4d234293e84b167c8d17c48f.response
call_4f4661a65f87a681091123be,Qwen2.5-Coder-14B-Instruct,bigcodebench_instruct,BigCodeBench/1053,plan_conditioned_revision,malformed_candidate,length,raw/run_c99d3b1d562acc3e80026e48/call_4f4661a65f87a681091123be.response,cf9add1ad5cdfefddc84742fc5e1a77a0089063c4af6a8e3f7ca40cc1ead71f2,data/selected_raw_response_evidence/responses/call_4f4661a65f87a681091123be.response
call_567485228da21e17ce10952f,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/446,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_567485228da21e17ce10952f.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_567485228da21e17ce10952f.response
call_568f88711793cc2cd98525a0,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/929,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_568f88711793cc2cd98525a0.response,8578c0f91d9382f5710d2c86ad4f33f75ec4f02a0b2edcfceab157641b7f9e5b,data/selected_raw_response_evidence/responses/call_568f88711793cc2cd98525a0.response
call_580bf55a9c2769b49198ecd2,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/477,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_580bf55a9c2769b49198ecd2.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_580bf55a9c2769b49198ecd2.response
call_59f6441c3bc1045f74b33552,DeepSeek-Coder-V2-Lite-Instruct,bigcodebench_instruct,BigCodeBench/607,refinement_need_decision,non_exact_decision_response,stop,raw/run_c99d3b1d562acc3e80026e48/call_59f6441c3bc1045f74b33552.response,5c38e98e2d4b7aa90d406e77b56591c272a4fa068d50af176ea5a1b99b1ed870,data/selected_raw_response_evidence/responses/call_59f6441c3bc1045f74b33552.response
call_5c0491514fe76262cb2fccb8,Qwen3-Coder-30B-A3B-Instruct-FP8,mbpp_plus,Mbpp/250,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_5c0491514fe76262cb2fccb8.response,01b73e8112f9af0b6d7c93ce5c08a4f86e63c31ccb985c8e897e5d9412f99a33,data/selected_raw_response_evidence/responses/call_5c0491514fe76262cb2fccb8.response
call_5d49a37557a1f226de66ce46,Qwen3-Coder-30B-A3B-Instruct-FP8,bigcodebench_instruct,BigCodeBench/566,refinement_need_decision,non_exact_decision_response,length,raw/run_c99d3b1d562acc3e80026e48/call_5d49a37557a1f226de66ce46.response,b581d0cc27b5d70abf2b47fb812645d401906d273af8ffc61f93adaa8f7d3f9c,data/selected_raw_response_evidence/responses/call_5d49a37557a1f226de66ce46.response
